pair,distance,normalization_ratio,alignment_points
value_AAPL vs value_ADBE,97.81960316532503,0.03887901556650439,2116
value_AAPL vs value_ADI,51.731258592794966,0.020560913590141082,2136
value_AAPL vs value_ADP,52.627854182597765,0.02091727113775746,2145
value_AAPL vs value_ADSK,91.79531703067931,0.03648462521092183,2109
value_AAPL vs value_AEP,294.72383466013144,0.11713983889512379,1571
value_AAPL vs value_ALGN,255.7001648532664,0.10162963626918378,1877
value_AAPL vs value_AMAT,59.42010366313409,0.02361689334782754,2086
value_AAPL vs value_AMD,77.61895114192825,0.03085013956356449,2177
value_AAPL vs value_AMGN,93.29850406886472,0.037082076338976436,2162
value_AAPL vs value_AMZN,55.07717876359294,0.02189077057376508,2194
value_AAPL vs value_ANSS,123.8917505398702,0.049241554268628855,2294
value_AAPL vs value_ASML,53.13785469036594,0.02111997404227581,2107
value_AAPL vs value_ATVI,43.31596101171719,0.022607495308829433,1573
value_AAPL vs value_AVGO,63.99030326986238,0.02543334788150333,2260
value_AAPL vs value_BIIB,184.3243041602423,0.07326085220995322,1871
value_AAPL vs value_BKNG,37.8243026018824,0.015033506598522418,2120
value_AAPL vs value_BKR,38.934774666343515,0.015474870694095196,1982
value_AAPL vs value_CDNS,37.21357484473153,0.014790769016189004,2135
value_AAPL vs value_CHTR,229.64266006313585,0.09127291735418754,2004
value_AAPL vs value_CMCSA,155.58045695343776,0.06183642963173202,2156
value_AAPL vs value_COST,30.233741722038957,0.012016590509554434,2104
value_AAPL vs value_CPRT,35.040000745376226,0.013926868340769566,2133
value_AAPL vs value_CRWD,81.7771759263527,0.03250285211699233,2127
value_AAPL vs value_CSCO,150.21473703060516,0.05970379055270476,2094
value_AAPL vs value_CSGP,146.8065108854431,0.058349169668300116,2118
value_AAPL vs value_CSX,71.46890592331178,0.028405765470314696,2249
value_AAPL vs value_CTAS,32.757621586625206,0.013019722411218286,2148
value_AAPL vs value_CTSH,101.00347599875748,0.04014446581826609,2234
value_AAPL vs value_DDOG,74.11564934963269,0.029457730266149718,2193
value_AAPL vs value_DLTR,127.42172803552718,0.05064456599186295,2081
value_AAPL vs value_DXCM,109.92478183468208,0.043690294846852974,2016
value_AAPL vs value_EA,117.37511324999328,0.04665147585452833,2239
value_AAPL vs value_EBAY,78.50154233759656,0.031200930976787188,2139
value_AAPL vs value_EXC,89.82243251594473,0.035700489871202196,2104
