date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,94.5,94.56,92.98,93.46,77.26,1779700,1779700,-1.04,-1.1,93.875,"January 02, 20",-0.011
2020-01-03,93.28,94.04,93.1,93.36,77.18,1939441,1939441,0.08,0.08576329,93.445,"January 03, 20",0.0008576329
2020-01-06,93.35,93.99,93.27,93.67,77.44,1253886,1253886,0.32,0.3428,93.57,"January 06, 20",0.003428
2020-01-07,93.28,93.83,92.94,93.69,77.45,2608662,2608662,0.41,0.43954,93.435,"January 07, 20",0.0043954
2020-01-08,93.41,94.02,93.18,93.41,77.22,2245400,2245400,0.0,0.0,93.505,"January 08, 20",0.0
2020-01-09,93.27,94.14,93.26,93.88,77.61,2141900,2141900,0.61,0.65402,93.6375,"January 09, 20",0.0065402
2020-01-10,94.2,94.66,94.02,94.34,77.99,1452847,1452847,0.14,0.14862,94.305,"January 10, 20",0.0014862
2020-01-13,94.39,95.1,94.39,94.63,78.23,2383800,2383800,0.24,0.25426,94.6275,"January 13, 20",0.0025426
2020-01-14,94.55,94.98,94.05,94.98,78.52,2717505,2717505,0.43,0.45479,94.64,"January 14, 20",0.0045479
2020-01-15,95.7,96.67,95.52,96.6,79.86,4114400,4114400,0.9,0.94044,96.1225,"January 15, 20",0.0094044
2020-01-16,96.69,97.53,96.64,97.31,80.44,2175900,2175900,0.62,0.64122,97.0425,"January 16, 20",0.0064122
2020-01-17,97.42,98.66,97.06,98.56,81.48,4554800,4554800,1.14,1.17,97.925,"January 17, 20",0.0117
2020-01-21,98.81,99.85,98.51,99.34,82.12,4731400,4731400,0.53,0.53638,99.1275,"January 21, 20",0.0053638
2020-01-22,100.0,100.4,99.8,100.0,82.67,2985100,2985100,0.0,0.0,100.05,"January 22, 20",0.0
2020-01-23,100.03,101.03,100.01,100.97,83.47,2402205,2402205,0.94,0.93972,100.51,"January 23, 20",0.0093972
2020-01-24,100.97,102.36,100.79,102.16,84.45,3189174,3189174,1.19,1.18,101.57,"January 24, 20",0.0118
2020-01-27,102.13,102.75,101.59,101.78,84.14,2295042,2295042,-0.35,-0.3427,102.0625,"January 27, 20",-0.003427
2020-01-28,101.83,102.55,101.71,102.19,84.48,1572417,1572417,0.36,0.35353,102.07,"January 28, 20",0.0035353
2020-01-29,102.34,103.14,101.86,102.81,84.99,1643627,1643627,0.47,0.45925,102.5375,"January 29, 20",0.0045925
2020-01-30,102.73,104.13,102.41,104.1,86.06,1952900,1952900,1.37,1.33,103.3425,"January 30, 20",0.0133
2020-01-31,104.0,104.43,103.61,104.22,86.16,2457818,2457818,0.22,0.21154,104.065,"January 31, 20",0.0021154
2020-02-03,104.47,104.7,103.86,104.22,86.16,3671534,3671534,-0.25,-0.2393,104.3125,"February 03, 20",-0.002393
2020-02-04,103.82,104.97,102.85,102.87,85.04,3203280,3203280,-0.95,-0.91505,103.6275,"February 04, 20",-0.0091505
2020-02-05,102.73,103.1,101.97,102.12,84.42,4064644,4064644,-0.61,-0.59379,102.48,"February 05, 20",-0.0059379
2020-02-06,101.98,102.72,101.98,102.25,84.53,2752700,2752700,0.27,0.26476,102.2325,"February 06, 20",0.0026476
2020-02-07,102.04,102.19,101.24,101.34,84.35,2260943,2260943,-0.7,-0.68601,101.7025,"February 07, 20",-0.0068601
2020-02-10,101.67,101.98,101.21,101.92,84.84,1541038,1541038,0.25,0.24589,101.695,"February 10, 20",0.0024589
2020-02-11,102.0,102.42,101.76,102.22,85.09,1498000,1498000,0.22,0.21569,102.1,"February 11, 20",0.0021569
2020-02-12,101.78,102.35,101.35,101.79,84.73,1503509,1503509,0.01,0.00982511,101.8175,"February 12, 20",9.82511e-05
2020-02-13,102.2,103.18,101.66,102.85,85.61,2555129,2555129,0.65,0.63601,102.4725,"February 13, 20",0.0063601
2020-02-14,103.15,103.88,102.92,103.76,86.37,1377056,1377056,0.61,0.59137,103.4275,"February 14, 20",0.0059137
2020-02-18,104.08,104.63,103.84,104.33,86.84,2121920,2121920,0.25,0.2402,104.22,"February 18, 20",0.002402
2020-02-19,104.15,104.39,103.44,103.5,86.15,1910110,1910110,-0.65,-0.6241,103.87,"February 19, 20",-0.006241
2020-02-20,102.95,103.99,102.04,102.38,85.22,3344545,3344545,-0.57,-0.55367,102.84,"February 20, 20",-0.0055367
2020-02-21,102.05,103.14,101.61,101.71,84.66,3361334,3361334,-0.34,-0.33317,102.1275,"February 21, 20",-0.0033317
2020-02-24,101.63,102.3,100.03,100.04,83.27,3279645,3279645,-1.59,-1.56,101.0,"February 24, 20",-0.0156
2020-02-25,100.23,100.62,97.94,98.17,81.71,3356560,3356560,-2.06,-2.06,99.24,"February 25, 20",-0.0206
2020-02-26,98.4,99.02,97.39,97.43,81.1,3258500,3258500,-0.97,-0.98577,98.06,"February 26, 20",-0.0098577
2020-02-27,97.31,97.51,91.79,91.86,76.46,5865608,5865608,-5.45,-5.6,94.6175,"February 27, 20",-0.056
2020-02-28,90.03,90.03,86.42,89.26,74.3,6764169,6764169,-0.77,-0.85527,88.935,"February 28, 20",-0.0085527
2020-03-02,89.55,95.31,89.34,95.09,79.15,4936258,4936258,5.54,6.19,92.3225,"March 02, 20",0.0619
2020-03-03,95.0,97.8,94.05,95.45,79.45,6823018,6823018,0.45,0.47368,95.575,"March 03, 20",0.0047368
2020-03-04,96.37,100.65,96.37,99.82,83.09,4027236,4027236,3.45,3.58,98.3025,"March 04, 20",0.0358
2020-03-05,98.37,100.18,97.72,98.79,82.23,5285700,5285700,0.42,0.42696,98.765,"March 05, 20",0.0042696
2020-03-06,95.9,97.72,93.85,97.7,81.32,5815534,5815534,1.8,1.88,96.2925,"March 06, 20",0.0188
2020-03-09,92.81,99.39,92.52,94.96,79.04,6660614,6660614,2.15,2.32,94.92,"March 09, 20",0.0232
2020-03-10,98.32,98.33,91.23,94.72,78.84,5729024,5729024,-3.6,-3.66,95.65,"March 10, 20",-0.0366
2020-03-11,92.91,92.96,88.04,89.72,74.68,4213666,4213666,-3.19,-3.43,90.9075,"March 11, 20",-0.0343
2020-03-12,83.0,85.97,73.53,82.54,68.7,7534018,7534018,-0.46,-0.55422,81.26,"March 12, 20",-0.0055422
2020-03-13,86.43,87.15,81.71,86.47,71.98,5127501,5127501,0.04,0.04628023,85.44,"March 13, 20",0.0004628023
2020-03-16,78.57,86.18,77.76,81.66,67.97,5564629,5564629,3.09,3.93,81.0425,"March 16, 20",0.0393
2020-03-17,83.64,95.77,83.49,91.2,75.91,6641800,6641800,7.56,9.04,88.525,"March 17, 20",0.0904
2020-03-18,85.02,92.86,81.01,88.28,73.48,5517910,5517910,3.26,3.83,86.7925,"March 18, 20",0.0383
2020-03-19,88.0,88.06,79.57,80.81,67.26,4741700,4741700,-7.19,-8.17,84.11,"March 19, 20",-0.0817
2020-03-20,80.95,81.1,70.26,71.45,59.47,5611003,5611003,-9.5,-11.74,75.94,"March 20, 20",-0.1174
2020-03-23,71.02,71.84,65.14,70.0,58.27,5499800,5499800,-1.02,-1.44,69.5,"March 23, 20",-0.0144
2020-03-24,71.66,73.78,68.09,72.05,59.97,4937521,4937521,0.39,0.54424,71.395,"March 24, 20",0.0054424
2020-03-25,71.38,76.31,69.35,73.29,61.01,5448600,5448600,1.91,2.68,72.5825,"March 25, 20",0.0268
2020-03-26,73.48,82.88,73.25,81.8,68.09,3903506,3903506,8.32,11.32,77.8525,"March 26, 20",0.1132
2020-03-27,79.79,86.59,79.13,83.4,69.42,3255255,3255255,3.61,4.52,82.2275,"March 27, 20",0.0452
2020-03-30,84.87,86.45,79.83,83.71,69.68,5390573,5390573,-1.16,-1.37,83.715,"March 30, 20",-0.0137
2020-03-31,82.68,83.49,79.24,79.98,66.57,6250250,6250250,-2.7,-3.27,81.3475,"March 31, 20",-0.0327
2020-04-01,77.45,78.91,73.82,74.57,62.07,3570112,3570112,-2.88,-3.72,76.1875,"April 01, 20",-0.0372
