date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,243.0,243.19,238.98,240.1,204.45,2088000,2088000,-2.9,-1.19,241.3175,"January 02, 20",-0.0119
2020-01-03,237.16,240.26,236.24,238.47,203.06,1879024,1879024,1.31,0.55237,238.0325,"January 03, 20",0.0055237
2020-01-06,237.2,240.45,236.56,240.3,204.62,1802823,1802823,3.1,1.31,238.6275,"January 06, 20",0.0131
2020-01-07,239.31,240.0,237.59,238.04,202.7,1522109,1522109,-1.27,-0.53069,238.735,"January 07, 20",-0.0053069
2020-01-08,237.93,239.58,236.61,238.22,202.85,2214850,2214850,0.29,0.12188,238.085,"January 08, 20",0.0012188
2020-01-09,239.69,239.69,237.97,238.93,203.46,1629000,1629000,-0.76,-0.31708,239.07,"January 09, 20",-0.0031708
2020-01-10,238.68,240.93,237.61,238.26,202.89,1777614,1777614,-0.42,-0.17597,238.87,"January 10, 20",-0.0017597
2020-01-13,238.26,238.33,234.79,236.92,201.75,2004400,2004400,-1.34,-0.56241,237.075,"January 13, 20",-0.0056241
2020-01-14,235.8,240.68,235.17,240.0,204.37,2239100,2239100,4.2,1.78,237.9125,"January 14, 20",0.0178
2020-01-15,240.67,242.6,240.05,241.7,205.82,1920726,1920726,1.03,0.42797,241.255,"January 15, 20",0.0042797
2020-01-16,242.18,243.85,239.85,240.5,204.79,2085700,2085700,-1.68,-0.6937,241.595,"January 16, 20",-0.006937
2020-01-17,242.11,242.14,239.27,241.49,205.64,2582849,2582849,-0.62,-0.25608,241.2525,"January 17, 20",-0.0025608
2020-01-21,240.97,242.01,237.26,237.6,202.32,3094208,3094208,-3.37,-1.4,239.46,"January 21, 20",-0.014
2020-01-22,238.75,239.7,235.76,236.75,201.6,1998233,1998233,-2.0,-0.8377,237.74,"January 22, 20",-0.008377
2020-01-23,237.06,237.06,233.07,235.04,200.14,2088700,2088700,-2.02,-0.8521,235.5575,"January 23, 20",-0.008521
2020-01-24,235.8,235.88,224.5,225.59,192.1,5020236,5020236,-10.21,-4.33,230.4425,"January 24, 20",-0.0433
2020-01-27,223.68,224.93,221.17,222.95,189.85,2843600,2843600,-0.73,-0.32636,223.1825,"January 27, 20",-0.0032636
2020-01-28,223.57,226.7,222.85,224.84,191.46,2103970,2103970,1.27,0.56805,224.49,"January 28, 20",0.0056805
2020-01-29,225.5,228.93,225.0,227.15,193.43,2001389,2001389,1.65,0.73171,226.645,"January 29, 20",0.0073171
2020-01-30,226.0,226.97,223.31,226.15,192.57,2581606,2581606,0.15,0.06637168,225.6075,"January 30, 20",0.0006637168
2020-01-31,218.76,219.08,210.01,216.05,183.97,5968931,5968931,-2.71,-1.24,215.975,"January 31, 20",-0.0124
2020-02-03,216.39,219.62,215.56,216.88,184.68,2565440,2565440,0.49,0.22644,217.1125,"February 03, 20",0.0022644
2020-02-04,220.77,223.85,220.48,221.81,188.88,2765342,2765342,1.04,0.47108,221.7275,"February 04, 20",0.0047108
2020-02-05,223.74,234.64,223.74,231.94,197.5,3669500,3669500,8.2,3.66,228.515,"February 05, 20",0.0366
2020-02-06,233.72,233.89,229.34,231.45,197.09,2007526,2007526,-2.27,-0.97125,232.1,"February 06, 20",-0.0097125
2020-02-07,231.41,232.18,227.67,229.33,195.28,2295149,2295149,-2.08,-0.89884,230.1475,"February 07, 20",-0.0089884
2020-02-10,228.15,228.96,226.26,227.42,193.66,2144700,2144700,-0.73,-0.31996,227.6975,"February 10, 20",-0.0031996
2020-02-11,227.7,229.47,226.8,228.96,194.97,1934539,1934539,1.26,0.55336,228.2325,"February 11, 20",0.0055336
2020-02-12,229.47,230.23,225.88,227.0,193.3,2501300,2501300,-2.47,-1.08,228.145,"February 12, 20",-0.0108
2020-02-13,224.99,226.52,222.82,223.04,191.27,1946511,1946511,-1.95,-0.86671,224.3425,"February 13, 20",-0.0086671
2020-02-14,222.93,223.49,221.34,223.48,191.65,1611960,1611960,0.55,0.24671,222.81,"February 14, 20",0.0024671
2020-02-18,224.15,224.35,220.92,221.69,190.12,1936402,1936402,-2.46,-1.1,222.7775,"February 18, 20",-0.011
2020-02-19,222.94,224.05,222.05,222.96,191.21,1322900,1322900,0.02,0.00897102,223.0,"February 19, 20",8.97102e-05
2020-02-20,223.2,223.48,218.51,222.14,190.5,1638000,1638000,-1.06,-0.47491,221.8325,"February 20, 20",-0.0047491
2020-02-21,222.24,223.8,220.99,222.79,191.06,2047500,2047500,0.55,0.24748,222.455,"February 21, 20",0.0024748
2020-02-24,219.88,223.99,215.76,217.88,186.85,3049600,3049600,-2.0,-0.90959,219.3775,"February 24, 20",-0.0090959
2020-02-25,218.08,219.56,209.82,210.38,180.42,3915518,3915518,-7.7,-3.53,214.46,"February 25, 20",-0.0353
2020-02-26,216.18,216.7,212.02,214.54,183.98,3314000,3314000,-1.64,-0.75863,214.86,"February 26, 20",-0.0075863
2020-02-27,214.92,215.28,203.22,203.5,174.52,4071100,4071100,-11.42,-5.31,209.23,"February 27, 20",-0.0531
2020-02-28,198.05,203.0,195.18,199.73,171.28,5316456,5316456,1.68,0.84827,198.99,"February 28, 20",0.0084827
2020-03-02,199.9,212.37,198.71,212.2,181.98,4245732,4245732,12.3,6.15,205.795,"March 02, 20",0.0615
2020-03-03,210.34,216.16,202.66,204.42,175.31,3975261,3975261,-5.92,-2.81,208.395,"March 03, 20",-0.0281
2020-03-04,209.53,215.29,207.62,215.11,184.47,3880450,3880450,5.58,2.66,211.8875,"March 04, 20",0.0266
2020-03-05,207.66,216.39,207.58,212.12,181.91,3185407,3185407,4.46,2.15,210.9375,"March 05, 20",0.0215
2020-03-06,203.97,211.61,203.82,210.65,180.65,3100544,3100544,6.68,3.27,207.5125,"March 06, 20",0.0327
2020-03-09,197.74,203.62,190.75,198.37,170.12,4065600,4065600,0.63,0.3186,197.62,"March 09, 20",0.003186
2020-03-10,203.36,207.1,194.67,206.8,177.35,3928777,3928777,3.44,1.69,202.9825,"March 10, 20",0.0169
2020-03-11,201.0,203.92,195.81,198.65,170.36,3777570,3777570,-2.35,-1.17,199.845,"March 11, 20",-0.0117
2020-03-12,184.63,196.26,181.77,182.24,156.28,4902612,4902612,-2.39,-1.29,186.225,"March 12, 20",-0.0129
2020-03-13,189.76,203.17,188.52,202.1,173.32,6903900,6903900,12.34,6.5,195.8875,"March 13, 20",0.065
2020-03-16,184.67,204.72,182.96,188.68,161.81,4932563,4932563,4.01,2.17,190.2575,"March 16, 20",0.0217
2020-03-17,192.21,210.91,191.65,207.8,178.2,5912873,5912873,15.59,8.11,200.6425,"March 17, 20",0.0811
2020-03-18,198.56,210.9,196.74,204.88,175.7,5597900,5597900,6.32,3.18,202.77,"March 18, 20",0.0318
2020-03-19,201.0,208.75,195.27,198.76,170.45,4796717,4796717,-2.24,-1.11,200.945,"March 19, 20",-0.0111
2020-03-20,198.89,201.97,186.0,188.25,161.44,5727006,5727006,-10.64,-5.35,193.7775,"March 20, 20",-0.0535
2020-03-23,188.89,191.96,177.05,185.93,159.45,4396603,4396603,-2.96,-1.57,185.9575,"March 23, 20",-0.0157
2020-03-24,191.47,202.85,190.01,202.34,173.52,5288247,5288247,10.87,5.68,196.6675,"March 24, 20",0.0568
2020-03-25,197.77,201.36,190.01,193.14,165.63,5301004,5301004,-4.63,-2.34,195.57,"March 25, 20",-0.0234
2020-03-26,193.12,199.72,190.5,198.49,170.22,5162547,5162547,5.37,2.78,195.4575,"March 26, 20",0.0278
2020-03-27,194.42,205.87,194.01,198.27,170.03,4119780,4119780,3.85,1.98,198.1425,"March 27, 20",0.0198
2020-03-30,200.05,209.45,200.05,208.48,178.79,3219000,3219000,8.43,4.21,204.5075,"March 30, 20",0.0421
2020-03-31,203.49,207.25,200.7,202.73,173.86,2929128,2929128,-0.76,-0.37348,203.5425,"March 31, 20",-0.0037348
2020-04-01,197.56,201.38,194.99,197.81,169.64,2747906,2747906,0.25,0.12654,197.935,"April 01, 20",0.0012654
2020-04-02,194.41,209.53,194.21,208.88,179.13,3867332,3867332,14.47,7.44,201.7575,"April 02, 20",0.0744
2020-04-03,207.43,209.75,203.03,205.41,176.15,2281426,2281426,-2.02,-0.97382,206.405,"April 03, 20",-0.0097382
2020-04-06,212.0,212.71,206.85,211.58,181.45,3702502,3702502,-0.42,-0.19811,210.785,"April 06, 20",-0.0019811
2020-04-07,213.45,215.18,207.33,208.78,179.04,2447500,2447500,-4.67,-2.19,211.185,"April 07, 20",-0.0219
2020-04-08,208.9,219.82,207.34,219.19,187.97,2861876,2861876,10.29,4.93,213.8125,"April 08, 20",0.0493
2020-04-09,217.4,219.35,215.7,218.21,187.13,2503361,2503361,0.81,0.37259,217.665,"April 09, 20",0.0037259
2020-04-13,216.98,219.18,215.15,218.27,187.18,2168055,2168055,1.29,0.59452,217.395,"April 13, 20",0.0059452
2020-04-14,221.01,228.32,220.25,226.8,194.5,3029000,3029000,5.79,2.62,224.095,"April 14, 20",0.0262
2020-04-15,224.99,225.51,219.31,221.8,190.21,3107124,3107124,-3.19,-1.42,222.9025,"April 15, 20",-0.0142
2020-04-16,225.0,232.1,223.22,230.9,198.01,2617328,2617328,5.9,2.62,227.805,"April 16, 20",0.0262
2020-04-17,236.83,236.99,229.22,234.97,201.5,2864273,2864273,-1.86,-0.78537,234.5025,"April 17, 20",-0.0078537
2020-04-20,234.2,239.56,232.39,236.6,202.9,2824060,2824060,2.4,1.02,235.6875,"April 20, 20",0.0102
2020-04-21,235.0,235.77,229.0,230.75,197.89,2672900,2672900,-4.25,-1.81,232.63,"April 21, 20",-0.0181
2020-04-22,233.35,234.0,227.59,229.29,196.63,2845168,2845168,-4.06,-1.74,231.0575,"April 22, 20",-0.0174
2020-04-23,229.09,235.65,228.88,232.49,199.38,3226457,3226457,3.4,1.48,231.5275,"April 23, 20",0.0148
2020-04-24,234.04,236.93,230.8,236.28,202.63,1946281,1946281,2.24,0.9571,234.5125,"April 24, 20",0.009571
2020-04-27,236.63,243.0,235.0,242.43,207.9,2472687,2472687,5.8,2.45,239.265,"April 27, 20",0.0245
2020-04-28,243.0,244.95,236.86,237.67,203.82,2548919,2548919,-5.33,-2.19,240.62,"April 28, 20",-0.0219
2020-04-29,238.9,239.31,235.24,235.69,202.12,3365329,3365329,-3.21,-1.34,237.285,"April 29, 20",-0.0134
2020-04-30,236.02,240.07,231.91,239.22,205.15,5704522,5704522,3.2,1.36,236.805,"April 30, 20",0.0136
2020-05-01,233.0,237.05,228.0,230.98,198.08,3045498,3045498,-2.02,-0.86695,232.2575,"May 01, 20",-0.0086695
2020-05-04,232.44,232.92,228.1,230.91,198.02,2035913,2035913,-1.53,-0.65823,231.0925,"May 04, 20",-0.0065823
2020-05-05,231.28,237.98,229.17,236.36,202.7,1975551,1975551,5.08,2.2,233.6975,"May 05, 20",0.022
2020-05-06,237.31,239.68,235.69,236.59,202.89,1980563,1980563,-0.72,-0.3034,237.3175,"May 06, 20",-0.003034
2020-05-07,236.9,237.97,232.1,233.33,200.1,2451212,2451212,-3.57,-1.51,235.075,"May 07, 20",-0.0151
2020-05-08,234.95,235.73,231.6,234.82,201.38,1534384,1534384,-0.13,-0.05533092,234.275,"May 08, 20",-0.0005533092
2020-05-11,233.07,243.49,232.51,242.74,208.17,2163904,2163904,9.67,4.15,237.9525,"May 11, 20",0.0415
2020-05-12,242.68,244.5,237.05,237.21,203.43,2241000,2241000,-5.47,-2.25,240.36,"May 12, 20",-0.0225
2020-05-13,235.22,243.94,235.22,236.83,203.1,2292700,2292700,1.61,0.68447,237.8025,"May 13, 20",0.0068447
2020-05-14,235.95,238.97,233.8,237.98,204.09,3322788,3322788,2.03,0.86035,236.675,"May 14, 20",0.0086035
2020-05-15,234.43,240.43,233.89,240.2,207.38,3111500,3111500,5.77,2.46,237.2375,"May 15, 20",0.0246
2020-05-18,243.66,244.39,231.8,233.19,201.33,5631628,5631628,-10.47,-4.3,238.26,"May 18, 20",-0.043
2020-05-19,232.64,233.44,227.17,227.43,196.36,3835800,3835800,-5.21,-2.24,230.17,"May 19, 20",-0.0224
2020-05-20,229.27,230.12,225.64,227.87,196.74,3714620,3714620,-1.4,-0.61063,228.225,"May 20, 20",-0.0061063
2020-05-21,228.11,228.24,224.0,224.78,194.07,2377709,2377709,-3.33,-1.46,226.2825,"May 21, 20",-0.0146
2020-05-22,224.17,226.77,223.61,226.43,195.5,2334329,2334329,2.26,1.01,225.245,"May 22, 20",0.0101
2020-05-26,227.53,228.35,221.73,222.4,192.02,2397800,2397800,-5.13,-2.25,225.0025,"May 26, 20",-0.0225
