date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-31,29.5,29.65,28.8,28.95,28.95,930940,930940,-0.55,-1.86,29.22,"July 31, 24",-0.0186
2024-08-01,28.65,28.8,27.6,28.1,28.1,8564500,8564500,-0.55,-1.92,28.29,"August 01, 24",-0.0192
2024-08-02,28.75,29.05,27.65,27.8,27.8,2412560,2412560,-0.95,-3.3,28.31,"August 02, 24",-0.033
2024-08-05,22.05,24.65,22.0,23.75,23.75,3141140,3141140,1.7,7.71,23.11,"August 05, 24",0.0771
2024-08-06,24.5,25.35,24.15,25.25,25.25,1690140,1690140,0.75,3.06,24.81,"August 06, 24",0.0306
2024-08-07,25.45,25.55,24.25,24.3,24.3,1267920,1267920,-1.15,-4.52,24.89,"August 07, 24",-0.0452
2024-08-08,25.65,26.58,25.2,26.35,26.35,977760,977760,0.7,2.73,25.94,"August 08, 24",0.0273
2024-08-09,26.85,27.13,26.44,26.9,26.9,1328060,1328060,0.05,0.18622,26.83,"August 09, 24",0.0018622
2024-08-12,26.45,26.92,25.65,26.2,26.2,751200,751200,-0.25,-0.94518,26.31,"August 12, 24",-0.0094518
2024-08-13,26.15,27.33,26.1,27.05,27.05,1069980,1069980,0.9,3.44,26.66,"August 13, 24",0.0344
2024-08-14,26.95,27.05,26.03,26.1,26.1,998940,998940,-0.85,-3.15,26.53,"August 14, 24",-0.0315
2024-08-15,26.25,26.55,25.15,25.35,25.35,1248080,1248080,-0.9,-3.43,25.82,"August 15, 24",-0.0343
2024-08-16,26.0,26.6,25.6,26.45,26.45,862980,862980,0.45,1.73,26.16,"August 16, 24",0.0173
2024-08-19,26.1,26.3,25.75,26.2,26.2,620680,620680,0.1,0.38314,26.09,"August 19, 24",0.0038314
2024-08-20,26.85,27.05,25.98,26.4,26.4,847140,847140,-0.45,-1.68,26.57,"August 20, 24",-0.0168
2024-08-21,26.35,27.35,26.12,27.35,27.35,1542140,1542140,1.0,3.8,26.79,"August 21, 24",0.038
2024-08-22,27.0,27.03,26.65,26.7,26.7,1058200,1058200,-0.3,-1.11,26.85,"August 22, 24",-0.0111
2024-08-23,27.15,28.35,26.98,28.25,28.25,2477640,2477640,1.1,4.05,27.68,"August 23, 24",0.0405
2024-08-26,28.35,28.35,27.95,28.05,28.05,1241800,1241800,-0.3,-1.06,28.18,"August 26, 24",-0.0106
2024-08-27,27.65,27.75,27.25,27.55,27.55,1388620,1388620,-0.1,-0.36166,27.55,"August 27, 24",-0.0036166
2024-08-28,26.6,26.63,25.65,26.15,26.15,2540200,2540200,-0.45,-1.69,26.26,"August 28, 24",-0.0169
2024-08-29,26.7,27.14,26.12,26.25,26.25,1416080,1416080,-0.45,-1.69,26.55,"August 29, 24",-0.0169
2024-08-30,26.4,26.53,25.6,26.0,26.0,1655400,1655400,-0.4,-1.52,26.13,"August 30, 24",-0.0152
2024-09-03,26.2,26.25,25.5,25.75,25.75,1079220,1079220,-0.45,-1.72,25.93,"September 03, 24",-0.0172
2024-09-04,25.05,25.95,24.87,25.75,25.75,1206660,1206660,0.7,2.79,25.41,"September 04, 24",0.0279
2024-09-05,25.1,25.4,24.7,24.85,24.85,2048340,2048340,-0.25,-0.99602,25.01,"September 05, 24",-0.0099602
2024-09-06,25.1,25.2,23.6,23.75,23.75,2004280,2004280,-1.35,-5.38,24.41,"September 06, 24",-0.0538
2024-09-09,24.55,25.38,24.27,25.35,25.35,1452840,1452840,0.8,3.26,24.89,"September 09, 24",0.0326
2024-09-10,25.25,25.75,25.05,25.7,25.7,1227200,1227200,0.45,1.78,25.44,"September 10, 24",0.0178
2024-09-11,25.25,25.75,24.61,25.55,25.55,1503940,1503940,0.3,1.19,25.29,"September 11, 24",0.0119
2024-09-12,25.55,25.98,25.4,25.85,25.85,1002500,1002500,0.3,1.17,25.69,"September 12, 24",0.0117
2024-09-13,25.6,26.65,25.55,26.5,26.5,1410400,1410400,0.9,3.52,26.07,"September 13, 24",0.0352
2024-09-16,26.0,26.0,25.5,25.7,25.7,1210080,1210080,-0.3,-1.15,25.8,"September 16, 24",-0.0115
2024-09-17,26.25,27.23,26.1,26.6,26.6,1238320,1238320,0.35,1.33,26.54,"September 17, 24",0.0133
2024-09-18,26.6,27.24,26.23,26.65,26.65,1359100,1359100,0.05,0.18797,26.68,"September 18, 24",0.0018797
2024-09-19,28.05,28.35,27.8,28.05,28.05,1326160,1326160,0.0,0.0,28.06,"September 19, 24",0.0
2024-09-20,27.95,28.19,27.65,27.9,27.9,2139400,2139400,-0.05,-0.17889,27.92,"September 20, 24",-0.0017889
2024-09-23,28.05,28.3,27.96,28.05,28.05,1041520,1041520,0.0,0.0,28.09,"September 23, 24",0.0
2024-09-24,28.1,28.55,27.8,28.55,28.55,1148980,1148980,0.45,1.6,28.25,"September 24, 24",0.016
2024-09-25,28.15,28.4,27.9,28.0,28.0,848240,848240,-0.15,-0.53286,28.11,"September 25, 24",-0.0053286
2024-09-26,28.55,29.23,28.45,28.7,28.7,1502100,1502100,0.15,0.52539,28.73,"September 26, 24",0.0052539
2024-09-27,29.1,29.55,29.0,29.1,29.1,1133000,1133000,0.0,0.0,29.19,"September 27, 24",0.0
2024-09-30,28.4,28.45,27.9,28.15,28.15,1183600,1183600,-0.25,-0.88028,28.22,"September 30, 24",-0.0088028
2024-10-01,28.1,28.15,27.05,27.4,27.4,1533700,1533700,-0.7,-2.49,27.67,"October 01, 24",-0.0249
2024-10-02,27.0,27.65,26.6,26.7,26.7,1738180,1738180,-0.3,-1.11,26.99,"October 02, 24",-0.0111
2024-10-03,26.8,27.1,26.55,27.05,27.05,995900,995900,0.25,0.93284,26.87,"October 03, 24",0.0093284
2024-10-04,27.3,27.75,26.95,27.7,27.7,982140,982140,0.4,1.47,27.43,"October 04, 24",0.0147
2024-10-07,28.0,28.6,27.83,28.1,28.1,1015260,1015260,0.1,0.35714,28.13,"October 07, 24",0.0035714
2024-10-08,27.8,28.05,27.4,27.6,27.6,1198900,1198900,-0.2,-0.71942,27.71,"October 08, 24",-0.0071942
2024-10-09,27.45,27.65,26.92,27.0,27.0,1173780,1173780,-0.45,-1.64,27.26,"October 09, 24",-0.0164
2024-10-10,27.05,27.05,26.1,26.45,26.45,1244480,1244480,-0.6,-2.22,26.66,"October 10, 24",-0.0222
2024-10-11,27.25,28.15,27.2,28.05,28.05,1277780,1277780,0.8,2.94,27.66,"October 11, 24",0.0294
2024-10-14,28.75,29.45,28.65,29.25,29.25,2025760,2025760,0.5,1.74,29.03,"October 14, 24",0.0174
2024-10-15,29.25,30.18,28.75,29.7,29.7,2534600,2534600,0.45,1.54,29.47,"October 15, 24",0.0154
2024-10-16,30.1,30.35,29.77,30.05,30.05,1638200,1638200,-0.05,-0.16611,30.07,"October 16, 24",-0.0016611
2024-10-17,29.75,30.04,29.55,29.6,29.6,1713640,1713640,-0.15,-0.5042,29.74,"October 17, 24",-0.005042
2024-10-18,30.05,30.65,30.02,30.4,30.4,1383180,1383180,0.35,1.16,30.28,"October 18, 24",0.0116
2024-10-21,30.1,30.15,29.6,30.05,30.05,1901020,1901020,-0.05,-0.16611,29.97,"October 21, 24",-0.0016611
2024-10-22,29.75,30.0,29.5,29.9,29.9,1212620,1212620,0.15,0.5042,29.79,"October 22, 24",0.005042
2024-10-23,29.5,29.65,28.87,29.4,29.4,1163580,1163580,-0.1,-0.33898,29.36,"October 23, 24",-0.0033898
2024-10-24,30.0,30.3,29.82,30.3,30.3,1154200,1154200,0.3,1.0,30.1,"October 24, 24",0.01
2024-10-25,30.15,30.55,29.2,29.6,29.6,2562340,2562340,-0.55,-1.82,29.88,"October 25, 24",-0.0182
2024-10-28,30.6,31.0,30.34,30.85,30.85,2831520,2831520,0.25,0.81699,30.7,"October 28, 24",0.0081699
2024-10-29,31.6,32.69,31.45,32.2,32.2,2859000,2859000,0.6,1.9,31.99,"October 29, 24",0.019
2024-10-30,31.85,32.15,31.66,31.85,31.85,1677760,1677760,0.0,0.0,31.88,"October 30, 24",0.0
2024-10-31,31.95,31.95,30.95,31.05,31.05,2829760,2829760,-0.9,-2.82,31.48,"October 31, 24",-0.0282
2024-11-01,31.15,31.76,30.46,30.7,30.7,2446040,2446040,-0.45,-1.44,31.02,"November 01, 24",-0.0144
2024-11-04,30.4,30.5,29.77,29.85,29.85,2319060,2319060,-0.55,-1.81,30.13,"November 04, 24",-0.0181
2024-11-05,30.75,31.28,30.48,30.8,30.8,2077900,2077900,0.05,0.1626,30.83,"November 05, 24",0.001626
2024-11-06,32.95,33.95,32.6,33.8,33.8,2762900,2762900,0.85,2.58,33.32,"November 06, 24",0.0258
2024-11-07,33.25,34.15,33.05,34.0,34.0,2689420,2689420,0.75,2.26,33.61,"November 07, 24",0.0226
2024-11-08,33.85,34.35,33.55,34.0,34.0,2605240,2605240,0.15,0.44313,33.94,"November 08, 24",0.0044313
2024-11-11,36.35,38.85,36.2,38.65,38.65,6037200,6037200,2.3,6.33,37.51,"November 11, 24",0.0633
2024-11-12,38.2,39.95,37.8,39.8,39.8,6230920,6230920,1.6,4.19,38.94,"November 12, 24",0.0419
2024-11-13,39.95,41.5,39.6,39.85,39.85,5549940,5549940,-0.1,-0.25031,40.22,"November 13, 24",-0.0025031
2024-11-14,40.55,40.75,38.75,38.85,38.85,4882080,4882080,-1.7,-4.19,39.72,"November 14, 24",-0.0419
2024-11-15,39.65,40.65,38.9,40.6,40.6,4386120,4386120,0.95,2.4,39.95,"November 15, 24",0.024
2024-11-18,40.15,41.1,39.78,40.65,40.65,3808420,3808420,0.5,1.25,40.42,"November 18, 24",0.0125
2024-11-19,40.65,41.75,40.45,41.1,41.1,3631860,3631860,0.45,1.11,40.99,"November 19, 24",0.0111
2024-11-20,41.97,42.14,41.37,41.84,41.84,1355100,1355100,-0.13,-0.30975,41.83,"November 20, 24",-0.0030975
2024-11-21,43.2,43.98,42.4,43.6,43.6,2695900,2695900,0.4,0.92593,43.3,"November 21, 24",0.0092593
2024-11-22,43.34,44.29,43.12,44.05,44.05,2335300,2335300,0.71,1.64,43.7,"November 22, 24",0.0164
2024-11-25,43.17,43.22,41.84,42.16,42.16,2153200,2153200,-1.01,-2.34,42.6,"November 25, 24",-0.0234
2024-11-26,40.87,42.03,40.2,40.32,40.32,1696900,1696900,-0.55,-1.35,40.85,"November 26, 24",-0.0135
2024-11-27,41.93,43.22,41.8,42.93,42.93,1417600,1417600,1.0,2.38,42.47,"November 27, 24",0.0238
2024-11-29,43.22,43.9,43.06,43.09,43.09,927600,927600,-0.13,-0.30079,43.32,"November 29, 24",-0.0030079
2024-12-02,42.56,43.25,41.87,42.46,42.46,1129300,1129300,-0.1,-0.23496,42.53,"December 02, 24",-0.0023496
2024-12-03,41.79,42.75,41.51,42.42,42.42,662300,662300,0.63,1.51,42.12,"December 03, 24",0.0151
2024-12-04,42.54,44.05,41.95,43.94,43.94,1004900,1004900,1.4,3.29,43.12,"December 04, 24",0.0329
2024-12-05,45.62,46.05,43.42,43.94,43.94,2164400,2164400,-1.68,-3.68,44.76,"December 05, 24",-0.0368
2024-12-06,44.1,45.33,43.77,45.1,45.1,1523100,1523100,1.0,2.27,44.57,"December 06, 24",0.0227
2024-12-09,43.96,44.57,42.6,42.63,42.63,1337900,1337900,-1.33,-3.03,43.44,"December 09, 24",-0.0303
2024-12-10,43.49,43.62,41.8,42.75,42.75,1019500,1019500,-0.74,-1.7,42.91,"December 10, 24",-0.017
2024-12-11,43.78,45.15,43.68,44.94,44.94,1712000,1712000,1.16,2.65,44.39,"December 11, 24",0.0265
2024-12-12,45.0,45.5,44.01,44.34,44.34,1274700,1274700,-0.66,-1.47,44.71,"December 12, 24",-0.0147
2024-12-13,44.56,45.25,44.23,45.11,45.11,995000,995000,0.55,1.23,44.79,"December 13, 24",0.0123
2024-12-16,46.28,47.86,46.25,46.94,46.94,2031300,2031300,0.66,1.43,46.83,"December 16, 24",0.0143
2024-12-17,47.79,48.07,46.87,47.3,47.3,2938700,2938700,-0.49,-1.03,47.51,"December 17, 24",-0.0103
2024-12-18,46.4,46.54,44.29,44.6,44.6,4051900,4051900,-1.8,-3.88,45.46,"December 18, 24",-0.0388
2024-12-19,45.37,45.57,42.31,42.67,42.67,2187800,2187800,-2.7,-5.95,43.98,"December 19, 24",-0.0595
2024-12-20,42.18,43.35,42.03,42.71,42.71,1428900,1428900,0.53,1.26,42.57,"December 20, 24",0.0126
2024-12-23,42.28,42.35,40.92,41.21,41.21,1937000,1937000,-1.07,-2.53,41.69,"December 23, 24",-0.0253
