date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,70.18,71.44,69.59,71.44,71.44,1410679,1410700,1.26,1.8,71.13,"January 02, 20",0.018
2020-01-03,70.54,70.99,70.055,70.42,70.419998,1317580,1317600,-0.12,-0.17012,70.48,"January 03, 20",-0.0017012
2020-01-06,69.98,70.9706,69.65,70.85,70.849998,1545015,1544700,0.87,1.24,70.61,"January 06, 20",0.0124
2020-01-07,70.46,71.28,69.94,71.07,71.07,1664687,1664600,0.61,0.86574,70.93,"January 07, 20",0.0086574
2020-01-08,71.28,72.76,70.96,72.28,72.279999,1763077,1763100,1.0,1.4,72.21,"January 08, 20",0.014
2020-01-09,72.82,73.69,72.56,73.36,73.36,1514381,1514400,0.54,0.74155,73.2,"January 09, 20",0.0074155
2020-01-10,73.4,73.58,72.665,73.03,73.029999,949972,950000,-0.37,-0.50409,73.09,"January 10, 20",-0.0050409
2020-01-13,73.53,73.95,72.95,73.39,73.389999,1156423,1156400,-0.14,-0.1904,73.34,"January 13, 20",-0.001904
2020-01-14,73.4,73.47,72.41,72.605,72.605,1023815,1023800,-0.795,-1.08,72.74,"January 14, 20",-0.0108
2020-01-15,72.65,73.1,71.66,71.94,71.94,1333647,1333600,-0.71,-0.97729,72.15,"January 15, 20",-0.0097729
2020-01-16,72.33,73.07,72.03,73.06,73.059998,1242118,1242100,0.73,1.01,72.71,"January 16, 20",0.0101
2020-01-17,73.38,73.835,72.65,73.73,73.73,1893491,1893500,0.35,0.47697,73.51,"January 17, 20",0.0047697
2020-01-21,73.41,74.87,73.23,74.6,74.599998,1630817,1630800,1.19,1.62,74.51,"January 21, 20",0.0162
2020-01-22,75.0,75.36,74.51,74.8,74.8,1156576,1156600,-0.2,-0.26667,74.86,"January 22, 20",-0.0026667
2020-01-23,74.92,75.55,74.2,75.42,75.419998,994593,994300,0.5,0.66738,75.24,"January 23, 20",0.0066738
2020-01-24,75.94,76.31,74.07,74.58,74.58,957074,957100,-1.36,-1.79,74.97,"January 24, 20",-0.0179
2020-01-27,72.49,73.28,71.76,72.62,72.62,1259934,1259900,0.13,0.17934,72.76,"January 27, 20",0.0017934
2020-01-28,73.09,74.51,72.88,74.18,74.18,1298063,1298100,1.09,1.49,74.09,"January 28, 20",0.0149
2020-01-29,74.5,74.645,73.045,73.14,73.139999,1241457,1241500,-1.36,-1.83,73.48,"January 29, 20",-0.0183
2020-01-30,72.46,73.21,72.1,73.16,73.16,1033191,1033200,0.7,0.96605,72.76,"January 30, 20",0.0096605
2020-01-31,72.86,73.05,71.36,72.11,72.11,2452577,2452600,-0.75,-1.03,72.17,"January 31, 20",-0.0103
2020-02-03,72.49,73.24,72.46,72.83,72.83,1405907,1405900,0.34,0.46903,72.89,"February 03, 20",0.0046903
2020-02-04,73.96,74.78,73.68,74.42,74.419998,1371951,1371900,0.46,0.62196,74.37,"February 04, 20",0.0062196
