date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-01-19,38.0,43.0,38.0,42.0,40.76,129922,129922,4.0,10.53,40.25,"January 19, 22",0.1053
2022-01-20,40.95,48.37,40.95,45.0,43.67,153414,153414,4.05,9.89,43.8175,"January 20, 22",0.0989
2022-01-21,43.0,49.95,42.95,45.0,43.67,329500,329500,2.0,4.65,45.225,"January 21, 22",0.0465
2022-01-24,44.92,45.0,41.88,42.8,41.54,110004,110004,-2.12,-4.72,43.65,"January 24, 22",-0.0472
2022-01-25,42.5,44.92,41.33,41.9,40.66,23500,23500,-0.6025,-1.41,42.6625,"January 25, 22",-0.0141
2022-01-26,45.01,45.06,42.25,43.22,41.95,90760,90760,-1.79,-3.98,43.885,"January 26, 22",-0.0398
2022-01-27,47.26,49.62,43.75,45.76,44.41,151618,151618,-1.5,-3.17,46.5975,"January 27, 22",-0.0317
2022-01-28,44.55,47.6,44.15,46.75,45.37,43609,43609,2.2,4.94,45.7625,"January 28, 22",0.0494
2022-01-31,46.0,48.0,46.0,48.0,46.58,71314,71314,2.0,4.35,47.0,"January 31, 22",0.0435
2022-02-01,47.5,50.0,47.05,49.78,48.31,298808,298808,2.28,4.8,48.5825,"February 01, 22",0.048
2022-02-02,50.03,56.23,49.8,53.01,51.45,23860902,23860902,2.98,5.96,52.2675,"February 02, 22",0.0596
2022-02-03,52.19,56.57,50.3,53.62,52.04,8425500,8425500,1.43,2.74,53.17,"February 03, 22",0.0274
2022-02-04,52.6,54.33,50.12,50.14,48.66,6757988,6757988,-2.46,-4.68,51.7975,"February 04, 22",-0.0468
2022-02-07,50.0,50.04,46.0,46.07,44.71,9432628,9432628,-3.93,-7.86,48.0275,"February 07, 22",-0.0786
2022-02-08,45.13,47.56,44.17,45.5,44.16,7277500,7277500,0.37,0.81985,45.59,"February 08, 22",0.0081985
2022-02-09,44.75,47.45,43.88,47.31,45.91,4393344,4393344,2.56,5.72,45.8475,"February 09, 22",0.0572
