date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,45.36,45.4,44.93,45.37,39.72,20171891,20171891,0.01,0.02204586,45.265,"January 02, 20",0.0002204586
2020-01-03,44.83,45.22,44.57,45.01,39.4,20496469,20496469,0.18,0.40152,44.9075,"January 03, 20",0.0040152
2020-01-06,44.66,44.87,44.55,44.67,39.1,17628499,17628499,0.01,0.0223914,44.6875,"January 06, 20",0.000223914
2020-01-07,44.25,45.01,44.22,44.93,39.52,24566232,24566232,0.68,1.54,44.6025,"January 07, 20",0.0154
2020-01-08,44.94,45.57,44.76,45.39,39.92,18097609,18097609,0.45,1.0,45.165,"January 08, 20",0.01
2020-01-09,45.39,45.61,45.18,45.51,40.03,14195400,14195400,0.12,0.26438,45.4225,"January 09, 20",0.0026438
2020-01-10,45.63,45.63,44.93,44.98,39.56,15896327,15896327,-0.65,-1.42,45.2925,"January 10, 20",-0.0142
2020-01-13,44.92,45.87,44.9,45.8,40.28,21789594,21789594,0.88,1.96,45.3725,"January 13, 20",0.0196
2020-01-14,45.57,46.22,45.5,46.03,40.48,16712123,16712123,0.46,1.01,45.83,"January 14, 20",0.0101
2020-01-15,46.06,46.55,46.01,46.28,40.7,15413500,15413500,0.22,0.47764,46.225,"January 15, 20",0.0047764
2020-01-16,46.44,46.92,46.31,46.87,41.22,24424400,24424400,0.43,0.92593,46.635,"January 16, 20",0.0092593
2020-01-17,47.68,47.74,47.11,47.5,41.78,27667130,27667130,-0.18,-0.37752,47.5075,"January 17, 20",-0.0037752
2020-01-21,47.48,47.48,46.79,47.3,41.6,19141600,19141600,-0.18,-0.37911,47.2625,"January 21, 20",-0.0037911
2020-01-22,47.5,47.7,47.27,47.44,41.72,18251633,18251633,-0.06,-0.12632,47.4775,"January 22, 20",-0.0012632
2020-01-23,46.54,46.98,45.51,45.65,40.15,37753018,37753018,-0.89,-1.91,46.17,"January 23, 20",-0.0191
2020-01-24,44.9,45.06,44.21,44.59,39.22,39229343,39229343,-0.3135,-0.69042,44.69,"January 24, 20",-0.0069042
2020-01-27,43.93,44.75,43.8,44.0,38.7,24048845,24048845,0.07,0.15934,44.12,"January 27, 20",0.0015934
