date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,294.06,294.58,291.0,291.49,267.59,2103600,2103600,-2.57,-0.87397,292.7825,"January 02, 20",-0.0087397
2020-01-03,290.05,292.9,289.33,291.73,267.81,1926624,1926624,1.68,0.57921,291.0025,"January 03, 20",0.0057921
2020-01-06,290.55,292.07,288.62,291.81,267.89,2655433,2655433,1.26,0.43366,290.7625,"January 06, 20",0.0043366
2020-01-07,291.32,291.69,289.28,291.35,267.46,1971494,1971494,0.03,0.01029795,290.91,"January 07, 20",0.0001029795
2020-01-08,290.99,295.48,290.5,294.69,270.53,2495438,2495438,3.7,1.27,292.915,"January 08, 20",0.0127
2020-01-09,298.55,301.96,297.71,299.42,274.87,3262225,3262225,0.87,0.29141,299.41,"January 09, 20",0.0029141
2020-01-10,300.0,300.27,296.66,297.24,272.87,2025220,2025220,-2.76,-0.92,298.5425,"January 10, 20",-0.0092
2020-01-13,296.92,300.65,296.8,299.87,275.29,1779744,1779744,2.95,0.99353,298.56,"January 13, 20",0.0099353
2020-01-14,299.25,301.0,298.58,299.75,275.18,1460562,1460562,0.5,0.16708,299.645,"January 14, 20",0.0016708
2020-01-15,298.35,301.04,298.04,300.82,276.16,1604433,1604433,2.47,0.82789,299.5625,"January 15, 20",0.0082789
2020-01-16,301.39,304.06,300.98,303.03,278.19,1758762,1758762,1.64,0.54415,302.365,"January 16, 20",0.0054415
2020-01-17,303.4,305.3,303.03,304.68,279.7,2506588,2506588,1.28,0.42189,304.1025,"January 17, 20",0.0042189
2020-01-21,306.2,313.34,305.76,313.26,287.58,3585918,3585918,7.06,2.31,309.64,"January 21, 20",0.0231
2020-01-22,313.4,313.56,310.21,311.89,286.32,2219022,2219022,-1.51,-0.48181,312.265,"January 22, 20",-0.0048181
2020-01-23,312.02,313.4,310.73,312.88,287.23,1535973,1535973,0.86,0.27562,312.2575,"January 23, 20",0.0027562
2020-01-24,314.02,314.28,309.1,310.51,285.05,1986279,1986279,-3.51,-1.12,311.9775,"January 24, 20",-0.0112
2020-01-27,306.15,311.77,305.65,309.45,284.08,2265350,2265350,3.3,1.08,308.255,"January 27, 20",0.0108
2020-01-28,310.51,311.71,309.1,310.85,285.37,1571700,1571700,0.34,0.1095,310.5425,"January 28, 20",0.001095
