date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,48.06,48.42,47.88,48.42,41.46,16710076,16710076,0.36,0.74906,48.195,"January 02, 20",0.0074906
2020-01-03,47.91,48.14,47.48,47.63,40.78,15587707,15587707,-0.28,-0.58443,47.79,"January 03, 20",-0.0058443
2020-01-06,47.14,47.82,47.01,47.8,40.92,22185267,22185267,0.66,1.4,47.4425,"January 06, 20",0.014
2020-01-07,47.72,47.72,47.1,47.49,40.66,16566640,16566640,-0.23,-0.48198,47.5075,"January 07, 20",-0.0048198
2020-01-08,46.97,47.79,46.81,47.52,40.69,25181655,25181655,0.55,1.17,47.2725,"January 08, 20",0.0117
2020-01-09,47.79,47.88,47.07,47.32,40.51,18211200,18211200,-0.47,-0.98347,47.515,"January 09, 20",-0.0098347
2020-01-10,47.48,47.56,47.06,47.13,40.35,13504600,13504600,-0.35,-0.73715,47.3075,"January 10, 20",-0.0073715
2020-01-13,47.31,47.98,47.3,47.97,41.07,18243201,18243201,0.66,1.4,47.64,"January 13, 20",0.014
2020-01-14,47.96,47.99,47.62,47.79,40.92,17951758,17951758,-0.17,-0.35446,47.84,"January 14, 20",-0.0035446
2020-01-15,47.92,48.4,47.76,48.01,41.1,16289443,16289443,0.09,0.18781,48.0225,"January 15, 20",0.0018781
2020-01-16,48.38,49.08,48.23,49.05,42.0,20094931,20094931,0.67,1.38,48.685,"January 16, 20",0.0138
2020-01-17,49.31,49.54,48.87,49.02,41.97,27176200,27176200,-0.29,-0.58812,49.185,"January 17, 20",-0.0058812
2020-01-21,48.96,49.2,48.67,48.8,41.78,21771800,21771800,-0.16,-0.3268,48.9075,"January 21, 20",-0.003268
2020-01-22,49.28,49.53,49.04,49.06,42.0,15186000,15186000,-0.22,-0.44643,49.2275,"January 22, 20",-0.0044643
2020-01-23,49.0,49.18,48.41,49.0,41.95,16767700,16767700,0.0,0.0,48.8975,"January 23, 20",0.0
2020-01-24,49.22,49.48,48.54,48.85,41.82,14066913,14066913,-0.37,-0.75173,49.0225,"January 24, 20",-0.0075173
2020-01-27,47.89,48.07,47.27,47.47,40.64,20666000,20666000,-0.42,-0.87701,47.675,"January 27, 20",-0.0087701
2020-01-28,47.52,47.97,47.5,47.77,40.9,14035100,14035100,0.25,0.52609,47.69,"January 28, 20",0.0052609
2020-01-29,47.97,47.98,46.93,47.05,40.28,14289781,14289781,-0.92,-1.92,47.4825,"January 29, 20",-0.0192
2020-01-30,46.54,47.27,46.26,47.24,40.45,14822600,14822600,0.7,1.5,46.8275,"January 30, 20",0.015
2020-01-31,46.99,47.0,45.84,45.97,39.36,20069931,20069931,-1.02,-2.17,46.45,"January 31, 20",-0.0217
2020-02-03,46.4,46.83,46.21,46.53,39.84,15383527,15383527,0.13,0.28017,46.4925,"February 03, 20",0.0028017
2020-02-04,47.22,47.71,47.11,47.62,40.77,13947300,13947300,0.4,0.8471,47.415,"February 04, 20",0.008471
2020-02-05,48.33,48.6,48.15,48.45,41.48,17042331,17042331,0.12,0.24829,48.3825,"February 05, 20",0.0024829
2020-02-06,48.69,48.82,48.22,48.69,41.69,9814844,9814844,0.0,0.0,48.605,"February 06, 20",0.0
2020-02-07,48.6,48.77,47.87,47.97,41.07,16807738,16807738,-0.63,-1.3,48.3025,"February 07, 20",-0.013
2020-02-10,47.99,48.89,47.88,48.87,41.84,19012716,19012716,0.88,1.83,48.4075,"February 10, 20",0.0183
2020-02-11,49.39,49.71,48.86,49.13,42.06,23168300,23168300,-0.26,-0.52642,49.2725,"February 11, 20",-0.0052642
