date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,24.27,24.4,24.08,24.4,22.78,8490545,8490545,0.12333,0.53564,24.2875,"January 02, 20",0.0053564
2020-01-03,24.0,24.31,23.88,24.3,22.68,9979032,9979032,0.29667,1.25,24.1225,"January 03, 20",0.0125
2020-01-06,24.06,24.25,23.91,24.17,22.57,14636471,14636471,0.11,0.45719,24.0975,"January 06, 20",0.0045719
2020-01-07,24.23,24.51,24.05,24.33,22.72,14361065,14361065,0.1,0.41271,24.28,"January 07, 20",0.0041271
2020-01-08,24.49,24.61,24.36,24.46,22.84,8612700,8612700,-0.03,-0.1225,24.48,"January 08, 20",-0.001225
2020-01-09,24.47,24.58,24.41,24.58,22.95,6462912,6462912,0.11333,0.44953,24.51,"January 09, 20",0.0044953
2020-01-10,24.57,24.62,24.42,24.45,22.83,6109587,6109587,-0.12,-0.4884,24.515,"January 10, 20",-0.004884
2020-01-13,24.46,24.92,24.38,24.9,23.24,10656412,10656412,0.44,1.8,24.665,"January 13, 20",0.018
2020-01-14,24.83,25.11,24.74,24.89,23.23,9250044,9250044,0.06,0.24164,24.8925,"January 14, 20",0.0024164
2020-01-15,24.84,25.19,24.79,25.0,23.34,14355600,14355600,0.16,0.64412,24.955,"January 15, 20",0.0064412
2020-01-16,25.22,25.62,25.22,25.58,23.88,21106647,21106647,0.36333,1.43,25.41,"January 16, 20",0.0143
2020-01-17,25.17,25.73,25.06,25.47,23.78,31340503,31340503,0.3,1.19,25.3575,"January 17, 20",0.0119
2020-01-21,25.24,25.35,24.88,24.94,23.29,14781590,14781590,-0.29667,-1.19,25.1025,"January 21, 20",-0.0119
2020-01-22,25.04,25.06,24.74,24.87,23.22,12779751,12779751,-0.17,-0.67891,24.9275,"January 22, 20",-0.0067891
2020-01-23,24.85,25.57,24.65,25.55,23.85,13105813,13105813,0.7,2.82,25.155,"January 23, 20",0.0282
2020-01-24,25.56,25.68,25.35,25.57,23.87,10812300,10812300,0.006667,0.03912363,25.54,"January 24, 20",0.0003912363
2020-01-27,25.0,25.28,24.87,25.06,23.39,11033840,11033840,0.056667,0.24,25.0525,"January 27, 20",0.0024
2020-01-28,25.24,25.54,25.1,25.41,23.72,10960200,10960200,0.16667,0.67353,25.3225,"January 28, 20",0.0067353
2020-01-29,25.58,26.13,25.5,25.84,24.13,14833718,14833718,0.26667,1.02,25.7625,"January 29, 20",0.0102
2020-01-30,25.47,25.95,25.45,25.93,24.21,9677400,9677400,0.45667,1.81,25.7,"January 30, 20",0.0181
2020-01-31,25.76,25.79,25.29,25.45,23.76,13947000,13947000,-0.31333,-1.2,25.5725,"January 31, 20",-0.012
2020-02-03,25.73,25.86,25.56,25.7,23.99,10319100,10319100,-0.026667,-0.1166,25.7125,"February 03, 20",-0.001166
2020-02-04,26.08,26.18,25.85,25.92,24.2,8813480,8813480,-0.16,-0.6135,26.0075,"February 04, 20",-0.006135
2020-02-05,26.27,26.27,25.96,26.06,24.33,10797151,10797151,-0.21333,-0.79939,26.14,"February 05, 20",-0.0079939
2020-02-06,26.17,26.22,25.93,26.11,24.37,6786309,6786309,-0.066666,-0.22927,26.1075,"February 06, 20",-0.0022927
2020-02-07,26.31,26.4,25.89,25.96,24.23,9293100,9293100,-0.35,-1.33,26.14,"February 07, 20",-0.0133
