date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,62.29,62.46,61.68,61.92,57.26,2234530,2234530,-0.37,-0.594,62.0875,"January 02, 20",-0.00594
2020-01-03,61.08,61.54,60.89,61.36,56.74,2535700,2535700,0.28,0.45842,61.2175,"January 03, 20",0.0045842
2020-01-06,61.04,61.3,60.35,60.75,56.17,3017038,3017038,-0.295,-0.4751,60.86,"January 06, 20",-0.004751
2020-01-07,60.67,60.69,59.98,60.32,55.78,2953345,2953345,-0.35,-0.57689,60.415,"January 07, 20",-0.0057689
2020-01-08,60.41,60.86,60.22,60.73,56.16,2912100,2912100,0.32,0.52971,60.555,"January 08, 20",0.0052971
2020-01-09,61.5,61.99,60.75,61.11,56.51,4049193,4049193,-0.39,-0.63415,61.3375,"January 09, 20",-0.0063415
2020-01-10,61.38,61.38,60.45,60.64,56.08,2538310,2538310,-0.74,-1.21,60.9625,"January 10, 20",-0.0121
2020-01-13,60.49,61.27,60.21,61.16,56.56,2787219,2787219,0.67,1.11,60.7825,"January 13, 20",0.0111
2020-01-14,61.09,61.71,60.97,61.37,56.75,3066835,3066835,0.28,0.45834,61.285,"January 14, 20",0.0045834
2020-01-15,61.42,62.0,61.42,61.85,57.2,2613400,2613400,0.43,0.7001,61.6725,"January 15, 20",0.007001
2020-01-16,62.02,62.56,61.86,62.45,57.75,3048700,3048700,0.43,0.69332,62.2225,"January 16, 20",0.0069332
2020-01-17,62.56,62.93,62.32,62.77,58.05,4046038,4046038,0.21,0.33568,62.645,"January 17, 20",0.0033568
2020-01-21,62.4,62.73,61.94,62.29,57.6,3823608,3823608,-0.11,-0.17628,62.34,"January 21, 20",-0.0017628
2020-01-22,62.6,62.92,61.83,62.19,57.51,3534516,3534516,-0.41,-0.65495,62.385,"January 22, 20",-0.0065495
2020-01-23,62.02,62.58,61.85,62.55,57.84,3048138,3048138,0.53,0.85456,62.25,"January 23, 20",0.0085456
2020-01-24,62.78,63.15,61.99,62.42,57.72,2631200,2631200,-0.36,-0.57343,62.585,"January 24, 20",-0.0057343
2020-01-27,61.83,62.09,61.29,61.77,57.12,3309800,3309800,-0.06,-0.09704027,61.745,"January 27, 20",-0.0009704027
2020-01-28,61.96,62.88,61.57,62.6,57.89,2683112,2683112,0.64,1.03,62.2525,"January 28, 20",0.0103
2020-01-29,62.84,63.38,62.59,62.92,58.18,3416121,3416121,0.08,0.12731,62.9325,"January 29, 20",0.0012731
2020-01-30,62.17,62.52,61.3,62.47,57.77,2428900,2428900,0.3,0.48255,62.115,"January 30, 20",0.0048255
2020-01-31,62.23,62.34,60.85,61.38,56.76,3340700,3340700,-0.85,-1.37,61.7,"January 31, 20",-0.0137
2020-02-03,61.85,62.91,61.57,62.61,57.9,3646750,3646750,0.76,1.23,62.235,"February 03, 20",0.0123
2020-02-04,63.35,63.9,63.0,63.43,58.66,2793100,2793100,0.08,0.12628,63.42,"February 04, 20",0.0012628
2020-02-05,64.59,65.17,64.23,64.97,60.08,3815490,3815490,0.38,0.58833,64.74,"February 05, 20",0.0058833
2020-02-06,67.05,71.48,66.97,71.42,66.05,7789900,7789900,4.37,6.52,69.23,"February 06, 20",0.0652
2020-02-07,70.58,70.99,68.55,69.59,64.35,7927100,7927100,-0.99,-1.4,69.9275,"February 07, 20",-0.014
2020-02-10,68.89,69.47,68.59,69.38,64.16,3077000,3077000,0.49,0.71128,69.0825,"February 10, 20",0.0071128
2020-02-11,69.46,69.46,68.76,69.2,63.99,3036000,3036000,-0.26,-0.37432,69.22,"February 11, 20",-0.0037432
