date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,36.41,36.5,36.14,36.3,33.14,4979348,4979348,-0.11,-0.30211,36.3375,"January 02, 20",-0.0030211
2020-01-03,35.92,36.1,35.78,35.96,32.83,3960900,3960900,0.04,0.11136,35.94,"January 03, 20",0.0011136
2020-01-06,35.78,35.82,35.46,35.78,32.67,5866016,5866016,0.0,0.0,35.71,"January 06, 20",0.0
2020-01-07,35.67,35.7,35.35,35.62,32.52,6868280,6868280,-0.05,-0.14017,35.585,"January 07, 20",-0.0014017
2020-01-08,35.71,36.08,35.57,35.6,32.5,6072600,6072600,-0.115,-0.30804,35.74,"January 08, 20",-0.0030804
2020-01-09,35.14,35.45,34.97,35.18,32.12,10787739,10787739,0.04,0.11383,35.185,"January 09, 20",0.0011383
2020-01-10,35.21,35.23,34.79,34.89,31.86,5664400,5664400,-0.32,-0.90883,35.03,"January 10, 20",-0.0090883
2020-01-13,34.85,34.89,34.56,34.73,31.71,7988734,7988734,-0.12,-0.34433,34.7575,"January 13, 20",-0.0034433
2020-01-14,34.67,35.37,34.51,35.35,32.28,7227472,7227472,0.68,1.96,34.975,"January 14, 20",0.0196
2020-01-15,35.43,35.72,35.05,35.33,32.26,10966043,10966043,-0.1,-0.28225,35.3825,"January 15, 20",-0.0028225
2020-01-16,35.39,35.99,35.27,35.92,32.8,6955922,6955922,0.53,1.5,35.6425,"January 16, 20",0.015
2020-01-17,35.32,35.9,35.28,35.82,32.71,12082467,12082467,0.5,1.42,35.58,"January 17, 20",0.0142
2020-01-21,35.6,35.86,35.47,35.72,32.62,6925480,6925480,0.12,0.33708,35.6625,"January 21, 20",0.0033708
2020-01-22,35.81,36.07,35.63,35.89,32.77,8023517,8023517,0.08,0.2234,35.85,"January 22, 20",0.002234
2020-01-23,35.82,35.98,35.55,35.61,32.51,7980240,7980240,-0.21,-0.58626,35.74,"January 23, 20",-0.0058626
2020-01-24,35.79,35.79,35.1,35.36,32.29,9243600,9243600,-0.43,-1.2,35.51,"January 24, 20",-0.012
2020-01-27,34.79,35.74,34.75,35.48,32.4,10529200,10529200,0.69,1.98,35.19,"January 27, 20",0.0198
2020-01-28,35.61,36.45,35.49,36.21,33.06,15161800,15161800,0.6,1.68,35.94,"January 28, 20",0.0168
2020-01-29,35.06,35.53,34.35,34.58,31.57,21463618,21463618,-0.475,-1.37,34.88,"January 29, 20",-0.0137
2020-01-30,34.36,35.14,34.25,35.06,32.01,12420060,12420060,0.7,2.04,34.7025,"January 30, 20",0.0204
2020-01-31,34.86,35.03,33.53,33.56,30.64,18541300,18541300,-1.3,-3.73,34.245,"January 31, 20",-0.0373
2020-02-03,33.75,34.53,33.71,34.39,31.4,14939947,14939947,0.64,1.9,34.095,"February 03, 20",0.019
2020-02-04,35.1,39.25,34.33,37.41,34.16,46298200,46298200,2.31,6.58,36.5225,"February 04, 20",0.0658
2020-02-05,36.86,37.45,36.61,37.13,33.9,25896732,25896732,0.265,0.7325,37.0125,"February 05, 20",0.007325
2020-02-06,37.73,39.04,37.53,38.0,34.7,24981600,24981600,0.27,0.71561,38.075,"February 06, 20",0.0071561
2020-02-07,35.83,36.87,35.8,36.2,33.05,18990660,18990660,0.37,1.03,36.175,"February 07, 20",0.0103
2020-02-10,36.18,36.23,35.49,36.02,32.89,11638100,11638100,-0.16,-0.44223,35.98,"February 10, 20",-0.0044223
2020-02-11,36.2,36.67,36.06,36.44,33.27,9380300,9380300,0.235,0.66298,36.3425,"February 11, 20",0.0066298
2020-02-12,36.64,37.5,36.61,37.15,33.92,11499278,11499278,0.51,1.39,36.975,"February 12, 20",0.0139
2020-02-13,37.05,37.27,36.7,37.19,33.96,7317900,7317900,0.14,0.37787,37.0525,"February 13, 20",0.0037787
2020-02-14,37.57,38.23,37.31,38.14,34.82,10998700,10998700,0.57,1.52,37.8125,"February 14, 20",0.0152
2020-02-18,38.28,38.63,37.76,37.87,34.58,15224169,15224169,-0.41,-1.07,38.135,"February 18, 20",-0.0107
2020-02-19,38.03,38.05,37.52,37.53,34.27,7598473,7598473,-0.5,-1.31,37.7825,"February 19, 20",-0.0131
