date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,116.0,116.3425,115.02,115.52,115.519997,4991801,5197700,-0.48,-0.41379,115.4,"January 02, 20",-0.0041379
2020-01-03,115.03,116.73,114.5,116.37,116.37,2833977,2834000,1.34,1.16,116.13,"January 03, 20",0.0116
2020-01-06,115.18,116.97,114.86,116.93,116.93,2115245,2114800,1.75,1.52,116.28,"January 06, 20",0.0152
2020-01-07,115.95,117.33,115.19,116.48,116.48,2397900,2397800,0.53,0.45709,116.66,"January 07, 20",0.0045709
2020-01-08,116.56,117.685,116.56,116.8,116.8,3323232,3323100,0.24,0.2059,117.03,"January 08, 20",0.002059
2020-01-09,117.54,118.01,117.12,117.8,117.8,3434247,3434200,0.26,0.2212,117.66,"January 09, 20",0.002212
2020-01-10,118.48,118.7,116.95,117.13,117.129997,2077231,2077200,-1.35,-1.14,117.6,"January 10, 20",-0.0114
2020-01-13,117.0,118.61,116.86,118.53,118.529999,3094251,3094300,1.53,1.31,118.09,"January 13, 20",0.0131
2020-01-14,118.31,118.53,117.28,117.55,117.55,2662652,2662600,-0.76,-0.64238,117.72,"January 14, 20",-0.0064238
2020-01-15,117.93,119.31,117.71,118.51,118.51,2015127,2015100,0.58,0.49182,118.6,"January 15, 20",0.0049182
2020-01-16,119.5,120.27,118.93,120.21,120.209999,2011061,2011100,0.71,0.59414,119.77,"January 16, 20",0.0059414
2020-01-17,120.79,120.86,119.77,120.68,120.68,4086601,4086600,-0.11,-0.09106714,120.39,"January 17, 20",-0.0009106714
2020-01-21,120.6,121.61,120.34,120.61,120.61,2426651,2426700,0.01,0.00829187,120.79,"January 21, 20",8.29187e-05
2020-01-22,121.3,122.52,121.28,122.05,122.040001,2922868,2922900,0.75,0.6183,122.07,"January 22, 20",0.006183
2020-01-23,122.05,122.51,121.04,122.23,122.23,2105293,2105300,0.18,0.14748,122.1,"January 23, 20",0.0014748
2020-01-24,122.58,122.93,120.5268,120.84,120.839996,1736280,1736200,-1.74,-1.42,121.45,"January 24, 20",-0.0142
2020-01-27,118.7,120.37,118.2182,119.3,119.3,1651276,1651200,0.6,0.50548,119.55,"January 27, 20",0.0050548
2020-01-28,119.3,121.14,119.06,120.43,120.43,3917549,3917500,1.13,0.94719,120.45,"January 28, 20",0.0094719
2020-01-29,120.85,121.05,119.69,120.04,120.04,2088105,2088000,-0.81,-0.67025,120.37,"January 29, 20",-0.0067025
2020-01-30,119.0,121.34,118.27,121.23,121.23,2094390,2094300,2.23,1.87,120.29,"January 30, 20",0.0187
2020-01-31,120.59,120.82,118.11,118.61,118.61,3428521,3428500,-1.98,-1.64,119.13,"January 31, 20",-0.0164
2020-02-03,119.96,122.08,119.51,121.94,121.94,2986339,2986000,1.98,1.65,121.53,"February 03, 20",0.0165
2020-02-04,123.62,125.05,123.0,123.89,123.889999,4570660,4570700,0.27,0.21841,124.01,"February 04, 20",0.0021841
2020-02-05,122.64,124.24,119.67,121.67,121.669998,5650261,5650300,-0.97,-0.79093,121.19,"February 05, 20",-0.0079093
2020-02-06,120.75,122.0,120.415,121.67,121.669998,3494302,3494300,0.92,0.7619,121.17,"February 06, 20",0.007619
2020-02-07,120.7,122.13,120.29,121.86,121.86,2373976,2374000,1.16,0.96106,121.68,"February 07, 20",0.0096106
2020-02-10,121.42,123.55,121.17,123.21,123.209999,2742853,2742900,1.79,1.47,122.94,"February 10, 20",0.0147
2020-02-11,123.81,124.61,120.54,120.71,120.709999,3231163,3231200,-3.1,-2.5,121.36,"February 11, 20",-0.025
2020-02-12,120.48,121.07,119.01,119.14,119.139999,4050422,4050300,-1.34,-1.11,119.56,"February 12, 20",-0.0111
2020-02-13,118.85,122.34,118.71,121.06,121.059998,3207559,3207600,2.21,1.86,121.13,"February 13, 20",0.0186
2020-02-14,121.12,122.36,120.7,122.32,122.32,2796511,2796500,1.2,0.99075,121.98,"February 14, 20",0.0099075
2020-02-18,122.95,123.72,121.67,122.25,122.25,2899520,2899500,-0.7,-0.56934,122.63,"February 18, 20",-0.0056934
2020-02-19,122.65,123.78,122.4,123.55,123.55,3636711,3636700,0.9,0.7338,123.29,"February 19, 20",0.007338
2020-02-20,123.3,123.4802,120.25,121.84,121.839996,3285109,3285100,-1.46,-1.18,121.8,"February 20, 20",-0.0118
2020-02-21,121.52,121.79,118.64,119.49,119.489998,3563689,3563700,-2.03,-1.67,119.58,"February 21, 20",-0.0167
2020-02-24,116.58,118.88,116.04,116.59,116.589996,3706411,3706400,0.01,0.0085778,116.96,"February 24, 20",8.5778e-05
2020-02-25,116.79,117.275,113.05,113.25,113.25,4117847,4117500,-3.54,-3.03,114.71,"February 25, 20",-0.0303
2020-02-26,113.8,115.26,112.07,112.87,112.87,3918381,3917900,-0.93,-0.81722,113.52,"February 26, 20",-0.0081722
2020-02-27,110.79,112.74,108.16,108.54,108.54,6824483,6824500,-2.25,-2.03,110.0,"February 27, 20",-0.0203
2020-02-28,105.12,109.51,104.58,109.36,109.36,7131794,7131800,4.24,4.03,107.59,"February 28, 20",0.0403
2020-03-02,108.64,114.29,107.175,114.23,114.23,5516409,5516400,5.59,5.15,111.71,"March 02, 20",0.0515
2020-03-03,113.0,114.95,108.385,109.37,109.37,5171299,5171100,-3.63,-3.21,110.92,"March 03, 20",-0.0321
2020-03-04,111.0,112.91,109.38,112.18,112.18,5787535,5787500,1.18,1.06,111.82,"March 04, 20",0.0106
2020-03-05,109.15,111.53,107.64,109.25,109.25,4642429,4642100,0.1,0.09161704,109.06,"March 05, 20",0.0009161704
2020-03-06,103.98,107.38,103.07,106.81,106.809998,4426357,4426400,2.83,2.72,105.74,"March 06, 20",0.0272
2020-03-09,99.87,103.0,98.11,100.03,100.029999,5444709,5444700,0.16,0.16021,100.89,"March 09, 20",0.0016021
2020-03-10,102.75,107.09,99.1,107.03,107.029999,8579658,8579600,4.28,4.17,104.47,"March 10, 20",0.0417
2020-03-11,103.8,108.04,101.88,102.42,102.419998,8779504,8777800,-1.38,-1.33,104.66,"March 11, 20",-0.0133
2020-03-12,95.2,101.11,93.58,94.92,94.919998,13496017,13496000,-0.28,-0.29412,96.55,"March 12, 20",-0.0029412
2020-03-13,100.16,103.65,95.36,103.42,103.419998,8218255,8218100,3.26,3.25,99.59,"March 13, 20",0.0325
2020-03-16,93.69,94.81,84.76,86.18,86.18,11294864,11294700,-7.51,-8.02,89.27,"March 16, 20",-0.0802
2020-03-17,88.45,91.17,83.91,90.89,90.889999,8093485,8093500,2.44,2.76,88.31,"March 17, 20",0.0276
2020-03-18,84.67,86.92,75.91,80.95,80.949997,9787943,9787900,-3.72,-4.39,80.66,"March 18, 20",-0.0439
2020-03-19,80.5,85.99,73.5,84.46,84.459999,9574578,9574600,3.96,4.92,82.58,"March 19, 20",0.0492
2020-03-20,87.11,89.59,81.135,81.77,81.769997,9676616,9676600,-5.34,-6.13,84.2,"March 20, 20",-0.0613
2020-03-23,81.42,81.73,74.85,77.0,77.0,9240462,9240500,-4.42,-5.43,77.79,"March 23, 20",-0.0543
2020-03-24,81.62,87.38,80.7399,86.65,86.65,6874945,6874900,5.03,6.16,85.24,"March 24, 20",0.0616
2020-03-25,86.6,94.59,85.09,91.2,91.199997,5645406,5645400,4.6,5.31,91.4,"March 25, 20",0.0531
2020-03-26,92.23,98.35,90.4969,97.69,97.69,5699233,5698400,5.46,5.92,96.02,"March 26, 20",0.0592
2020-03-27,94.54,96.79,92.02,93.95,93.949997,7067593,7067600,-0.59,-0.62407,94.79,"March 27, 20",-0.0062407
2020-03-30,93.95,98.735,93.7446,98.33,98.33,4787764,4787700,4.38,4.66,97.39,"March 30, 20",0.0466
2020-03-31,95.88,97.99,94.08,94.99,94.989998,8472168,8472200,-0.89,-0.92824,95.37,"March 31, 20",-0.0092824
2020-04-01,91.0,92.0,87.44,88.01,88.01,4128046,4128000,-2.99,-3.29,89.38,"April 01, 20",-0.0329
2020-04-02,85.92,89.41,85.0,88.75,88.75,3913708,3913700,2.83,3.29,87.83,"April 02, 20",0.0329
2020-04-03,88.27,89.7194,84.37,86.19,86.19,3739995,3740000,-2.08,-2.36,86.36,"April 03, 20",-0.0236
2020-04-06,91.58,96.53,90.13,95.86,95.86,7687730,7687700,4.28,4.67,93.73,"April 06, 20",0.0467
2020-04-07,99.8965,100.425,94.47,94.62,94.62,3622642,3622400,-5.2765,-5.28,96.63,"April 07, 20",-0.0528
2020-04-08,95.68,98.83,94.53,98.37,98.37,3847315,3847300,2.69,2.81,97.76,"April 08, 20",0.0281
2020-04-09,100.0955,101.82,97.91,99.22,99.22,3830595,3830500,-0.8755,-0.87466,99.39,"April 09, 20",-0.0087466
2020-04-13,97.99,98.4,94.61,96.97,96.97,3721405,3721400,-1.02,-1.04,96.36,"April 13, 20",-0.0104
2020-04-14,98.8018,98.8018,95.36,96.85,96.849998,6405232,6404900,-1.9518,-1.98,96.71,"April 14, 20",-0.0198
2020-04-15,94.76,95.39,92.83,93.66,93.66,6378219,6378200,-1.1,-1.16,93.57,"April 15, 20",-0.0116
2020-04-16,95.11,96.05,93.02,95.73,95.73,4143537,4143500,0.62,0.65188,95.05,"April 16, 20",0.0065188
2020-04-17,98.89,100.765,98.0,100.63,100.629997,4171887,4171900,1.74,1.76,99.94,"April 17, 20",0.0176
2020-04-20,98.83,99.78,96.83,97.24,97.239998,3060757,3060800,-1.59,-1.61,97.84,"April 20, 20",-0.0161
2020-04-21,94.87,95.6,91.4,91.76,91.76,3795350,3795300,-3.11,-3.28,92.72,"April 21, 20",-0.0328
2020-04-22,94.29,96.46,93.33,95.4,95.4,3742823,3742600,1.11,1.18,94.81,"April 22, 20",0.0118
2020-04-23,94.95,96.65,93.79,94.61,94.61,2496276,2496300,-0.34,-0.35808,95.12,"April 23, 20",-0.0035808
2020-04-24,95.29,96.69,93.62,96.29,96.29,3279272,3279300,1.0,1.05,95.59,"April 24, 20",0.0105
2020-04-27,97.49,99.38,96.48,99.18,99.18,3202505,3202500,1.69,1.73,98.2,"April 27, 20",0.0173
2020-04-28,100.84,101.2,99.01,99.78,99.779999,4735377,4735100,-1.06,-1.05,100.41,"April 28, 20",-0.0105
2020-04-29,102.0,105.58,101.68,104.73,104.73,4935430,4935200,2.73,2.68,104.62,"April 29, 20",0.0268
2020-04-30,103.93,104.26,102.09,103.06,103.059998,3281969,3281900,-0.87,-0.8371,102.99,"April 30, 20",-0.008371
2020-05-01,101.19,102.15,99.67,100.25,100.25,2984699,2984500,-0.94,-0.92895,100.47,"May 01, 20",-0.0092895
2020-05-04,99.43,101.7,99.0,101.54,101.54,3496345,3496300,2.11,2.12,100.92,"May 04, 20",0.0212
2020-05-05,102.13,105.12,102.06,103.83,103.83,3330720,3330700,1.7,1.66,104.42,"May 05, 20",0.0166
2020-05-06,105.0,107.06,104.42,105.49,105.489998,3864613,3864600,0.49,0.46667,106.09,"May 06, 20",0.0046667
2020-05-07,105.49,108.37,105.05,107.32,107.32,4236674,4234700,1.83,1.73,107.43,"May 07, 20",0.0173
2020-05-08,106.69,108.83,103.42,104.78,104.779999,8497173,8497200,-1.91,-1.79,105.12,"May 08, 20",-0.0179
2020-05-11,104.12,104.34,101.5,101.73,101.73,6577386,6577300,-2.39,-2.3,102.33,"May 11, 20",-0.023
2020-05-12,101.96,102.54,100.07,100.27,100.269997,7032199,7032200,-1.69,-1.66,101.36,"May 12, 20",-0.0166
2020-05-13,99.48,101.19,97.5,98.86,98.86,6212292,6212300,-0.62,-0.62324,99.14,"May 13, 20",-0.0062324
2020-05-14,99.69,99.87,96.94,99.32,99.32,5779968,5780000,-0.37,-0.37115,98.73,"May 14, 20",-0.0037115
2020-05-15,99.2936,100.64,98.19,100.02,100.019997,3755583,3755600,0.7264,0.73157,99.97,"May 15, 20",0.0073157
2020-05-18,102.15,106.51,101.8,105.05,105.05,5026751,5025600,2.9,2.84,105.07,"May 18, 20",0.0284
