date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,65.53,65.74,65.04,65.23,52.81,5038200,5038200,-0.3,-0.45781,65.385,"January 02, 20",-0.0045781
2020-01-03,64.63,65.37,64.56,65.07,52.68,4689788,4689788,0.44,0.6808,64.9075,"January 03, 20",0.006808
2020-01-06,64.67,65.83,64.66,65.65,53.15,8248705,8248705,0.98,1.52,65.2025,"January 06, 20",0.0152
2020-01-07,65.26,65.29,64.17,65.12,52.72,8085147,8085147,-0.14,-0.21453,64.96,"January 07, 20",-0.0021453
2020-01-08,65.11,66.24,64.81,65.8,53.27,6608066,6608066,0.69,1.06,65.49,"January 08, 20",0.0106
2020-01-09,65.81,66.07,65.3,65.84,53.3,5942300,5942300,0.03,0.04558578,65.755,"January 09, 20",0.0004558578
2020-01-10,66.0,66.09,64.98,65.03,52.65,5154055,5154055,-0.97,-1.47,65.525,"January 10, 20",-0.0147
2020-01-13,65.05,65.26,64.08,64.31,52.07,6869196,6869196,-0.74,-1.14,64.675,"January 13, 20",-0.0114
2020-01-14,64.41,64.56,63.91,64.2,51.98,9932253,9932253,-0.21,-0.32604,64.27,"January 14, 20",-0.0032604
2020-01-15,64.07,64.93,63.98,64.1,51.9,7080600,7080600,0.03,0.04682379,64.27,"January 15, 20",0.0004682379
2020-01-16,64.29,64.38,63.12,63.2,51.17,10633900,10633900,-1.09,-1.7,63.7475,"January 16, 20",-0.017
2020-01-17,63.5,63.5,62.57,62.98,50.99,13457606,13457606,-0.52,-0.8189,63.1375,"January 17, 20",-0.008189
2020-01-21,62.91,62.92,62.23,62.63,50.71,12261375,12261375,-0.28,-0.44508,62.6725,"January 21, 20",-0.0044508
2020-01-22,62.8,63.51,62.6,63.43,51.35,7906261,7906261,0.63,1.0,63.085,"January 22, 20",0.01
2020-01-23,63.25,64.06,62.74,63.94,51.77,14648720,14648720,0.69,1.09,63.4975,"January 23, 20",0.0109
2020-01-24,64.07,64.2,62.84,63.15,51.13,18685100,18685100,-0.92,-1.44,63.565,"January 24, 20",-0.0144
2020-01-27,63.0,64.28,62.8,63.83,51.68,10421651,10421651,0.83,1.32,63.4775,"January 27, 20",0.0132
2020-01-28,64.25,64.88,64.09,64.36,52.11,10241423,10241423,0.11,0.17121,64.395,"January 28, 20",0.0017121
2020-01-29,64.42,65.14,64.22,64.3,52.06,7074791,7074791,-0.12,-0.18628,64.52,"January 29, 20",-0.0018628
2020-01-30,63.9,64.1,63.03,64.03,51.84,8771800,8771800,0.13,0.20344,63.765,"January 30, 20",0.0020344
2020-01-31,63.8,63.93,62.6,63.2,51.17,11416828,11416828,-0.6,-0.94044,63.3825,"January 31, 20",-0.0094044
2020-02-03,67.74,68.68,65.49,66.36,53.73,35561977,35561977,-1.37,-2.04,67.0675,"February 03, 20",-0.0204
2020-02-04,68.0,68.01,66.88,67.4,54.57,15904100,15904100,-0.6,-0.88235,67.5725,"February 04, 20",-0.0088235
2020-02-05,66.22,66.55,64.07,65.87,53.33,21184503,21184503,-0.35,-0.52854,65.6775,"February 05, 20",-0.0052854
2020-02-06,67.29,69.9,66.05,68.21,55.22,28805541,28805541,0.92,1.37,67.8625,"February 06, 20",0.0137
2020-02-07,69.98,71.19,68.39,68.87,55.76,27320131,27320131,-1.11,-1.59,69.6075,"February 07, 20",-0.0159
2020-02-10,69.32,69.4,67.61,68.99,55.85,24347800,24347800,-0.33,-0.47605,68.83,"February 10, 20",-0.0047605
2020-02-11,68.93,68.99,67.5,67.76,54.86,12858700,12858700,-1.17,-1.7,68.295,"February 11, 20",-0.017
2020-02-12,67.5,67.82,66.32,66.95,54.2,13927128,13927128,-0.55,-0.81481,67.1475,"February 12, 20",-0.0081481
2020-02-13,67.13,67.77,66.52,66.8,54.08,8031000,8031000,-0.33,-0.49158,67.055,"February 13, 20",-0.0049158
