date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,261.53,265.26,260.49,265.02,265.019989,417192,445500,3.49,1.33,263.4,"January 02, 20",0.0133
2020-01-03,260.87,266.39,259.994,264.77,264.769989,399146,399100,3.9,1.49,264.44,"January 03, 20",0.0149
2020-01-06,263.9,267.18,261.3234,266.93,266.929993,579070,579000,3.03,1.15,265.82,"January 06, 20",0.0115
2020-01-07,267.29,269.46,265.37,266.12,266.119995,418494,418400,-1.17,-0.43773,266.98,"January 07, 20",-0.0043773
2020-01-08,267.89,274.65,266.11,271.68,271.679993,717504,717500,3.79,1.41,272.35,"January 08, 20",0.0141
2020-01-09,273.94,278.19,271.99,277.94,277.94,567649,567600,4.0,1.46,276.09,"January 09, 20",0.0146
2020-01-10,279.53,283.735,277.33,281.64,281.64,577991,578000,2.11,0.75484,281.58,"January 10, 20",0.0075484
2020-01-13,281.75,284.35,280.02,282.29,282.29,478930,478900,0.54,0.19166,282.22,"January 13, 20",0.0019166
2020-01-14,281.55,285.445,279.8347,284.02,284.019989,468500,468500,2.47,0.87729,283.41,"January 14, 20",0.0087729
2020-01-15,285.13,288.92,282.66,288.49,288.48999,501881,501900,3.36,1.18,286.06,"January 15, 20",0.0118
2020-01-16,289.03,291.5,287.19,289.92,289.92,363853,363900,0.89,0.30793,289.84,"January 16, 20",0.0030793
2020-01-17,290.88,291.04,285.205,285.8,285.799988,608085,608100,-5.08,-1.75,287.1,"January 17, 20",-0.0175
2020-01-21,284.64,287.43,283.71,284.84,284.839996,654501,654500,0.2,0.07026419,285.13,"January 21, 20",0.0007026419
2020-01-22,285.15,290.14,285.15,287.62,287.619995,401827,401800,2.47,0.86621,288.13,"January 22, 20",0.0086621
2020-01-23,287.86,287.985,283.45,285.9,285.899994,454289,454300,-1.96,-0.68089,285.28,"January 23, 20",-0.0068089
2020-01-24,288.21,289.25,279.18,280.77,280.769989,345231,345100,-7.44,-2.58,281.92,"January 24, 20",-0.0258
2020-01-27,277.15,279.25,275.21,277.31,277.309998,368748,368700,0.16,0.05773047,277.43,"January 27, 20",0.0005773047
2020-01-28,277.35,279.81,276.48,278.64,278.64,578919,578900,1.29,0.46512,278.48,"January 28, 20",0.0046512
2020-01-29,279.8,283.14,276.99,280.8,280.799988,363325,363300,1.0,0.3574,280.68,"January 29, 20",0.003574
2020-01-30,278.8,283.99,276.52,283.73,283.73,497696,497700,4.93,1.77,281.26,"January 30, 20",0.0177
2020-01-31,280.14,289.96,269.49,271.01,271.01,910248,910200,-9.13,-3.26,275.05,"January 31, 20",-0.0326
2020-02-03,276.08,281.52,274.25,275.77,275.769989,569600,569600,-0.31,-0.11229,277.64,"February 03, 20",-0.0011229
2020-02-04,280.58,285.96,277.82,279.12,279.119995,492253,492200,-1.46,-0.52035,279.54,"February 04, 20",-0.0052035
2020-02-05,281.87,282.16,272.81,274.4,274.399994,510489,510500,-7.47,-2.65,275.44,"February 05, 20",-0.0265
2020-02-06,275.27,281.37,274.43,280.67,280.67,542843,542800,5.4,1.96,279.75,"February 06, 20",0.0196
2020-02-07,280.59,281.08,277.7,278.4,278.399994,239716,239700,-2.19,-0.7805,278.94,"February 07, 20",-0.007805
2020-02-10,277.94,279.645,276.94,279.15,279.149994,348326,348200,1.21,0.43535,278.65,"February 10, 20",0.0043535
2020-02-11,280.33,284.36,280.04,283.38,283.38,293162,293100,3.05,1.09,283.2,"February 11, 20",0.0109
2020-02-12,284.21,285.875,280.34,283.28,283.279999,314469,314500,-0.93,-0.32722,282.96,"February 12, 20",-0.0032722
2020-02-13,283.16,286.5,281.85,285.05,285.049988,283851,283900,1.89,0.66747,284.32,"February 13, 20",0.0066747
2020-02-14,285.27,289.01,283.4,288.78,288.779999,286787,286800,3.51,1.23,287.19,"February 14, 20",0.0123
2020-02-18,288.38,289.35,285.76,286.75,286.75,455261,455300,-1.63,-0.56523,286.89,"February 18, 20",-0.0056523
2020-02-19,288.0,296.25,288.0,290.97,290.97,734123,734100,2.97,1.03,292.99,"February 19, 20",0.0103
2020-02-20,290.22,292.97,278.5,281.45,281.45,696581,696500,-8.77,-3.02,282.28,"February 20, 20",-0.0302
2020-02-21,280.64,281.49,276.79,278.11,278.109985,443302,443300,-2.53,-0.90151,278.27,"February 21, 20",-0.0090151
2020-02-24,274.47,275.61,267.36,269.81,269.809998,595421,595400,-4.66,-1.7,270.82,"February 24, 20",-0.017
2020-02-25,270.22,272.0168,255.35,256.71,256.709991,649059,649000,-13.51,-5.0,260.06,"February 25, 20",-0.05
2020-02-26,258.65,265.775,258.24,259.45,259.45,583924,583900,0.8,0.3093,261.18,"February 26, 20",0.003093
2020-02-27,255.94,261.72,250.0,250.15,250.149994,610154,610100,-5.79,-2.26,255.1,"February 27, 20",-0.0226
2020-02-28,242.22,254.94,238.04,254.51,254.509995,1614736,1614600,12.29,5.07,247.86,"February 28, 20",0.0507
2020-03-02,254.93,262.33,247.67,261.99,261.98999,700708,700700,7.06,2.77,257.28,"March 02, 20",0.0277
2020-03-03,259.25,263.73,247.63,251.25,251.25,728896,728900,-8.0,-3.09,254.33,"March 03, 20",-0.0309
2020-03-04,256.07,263.34,251.0,263.03,263.029999,602595,602600,6.96,2.72,259.2,"March 04, 20",0.0272
2020-03-05,258.17,260.01,250.97,255.16,255.16,524430,524400,-3.01,-1.17,254.84,"March 05, 20",-0.0117
2020-03-06,245.44,250.83,242.75,249.89,249.889999,559182,559200,4.45,1.81,247.65,"March 06, 20",0.0181
2020-03-09,236.1,246.34,230.5574,242.83,242.83,909795,909800,6.73,2.85,242.97,"March 09, 20",0.0285
2020-03-10,251.99,256.0,241.35,255.36,255.36,605479,605500,3.37,1.34,250.13,"March 10, 20",0.0134
2020-03-11,245.59,252.64,243.37,245.58,245.58,694423,694300,-0.01,-0.00407183,246.66,"March 11, 20",-4.07183e-05
2020-03-12,230.16,246.67,225.75,241.0,241.0,1405469,1405500,10.84,4.71,238.74,"March 12, 20",0.0471
2020-03-13,243.51,255.54,230.33,254.17,254.169998,1371035,1371000,10.66,4.38,243.53,"March 13, 20",0.0438
2020-03-16,231.94,240.23,223.705,223.83,223.83,1331989,1332000,-8.11,-3.5,230.79,"March 16, 20",-0.035
2020-03-17,228.93,236.88,208.41,215.88,215.88,1271000,1271000,-13.05,-5.7,220.56,"March 17, 20",-0.057
2020-03-18,204.34,213.29,199.18,205.13,205.13,1569273,1569300,0.79,0.38661,205.88,"March 18, 20",0.0038661
2020-03-19,204.02,207.95,185.03,193.18,193.179993,1852318,1852300,-10.84,-5.31,193.55,"March 19, 20",-0.0531
2020-03-20,193.95,196.94,180.19,183.29,183.289993,1539269,1539200,-10.66,-5.5,187.81,"March 20, 20",-0.055
2020-03-23,181.96,187.25,168.65,182.94,182.94,1386239,1386200,0.98,0.53858,178.43,"March 23, 20",0.0053858
2020-03-24,190.38,207.06,186.73,204.99,204.99,1065890,1065900,14.61,7.67,200.78,"March 24, 20",0.0767
2020-03-25,204.78,223.85,200.66,214.23,214.229996,892276,892300,9.45,4.61,213.9,"March 25, 20",0.0461
2020-03-26,213.06,232.48,212.2,230.38,230.38,740473,740500,17.32,8.13,223.32,"March 26, 20",0.0813
2020-03-27,223.54,237.05,223.54,231.75,231.75,857952,857900,8.21,3.67,231.74,"March 27, 20",0.0367
2020-03-30,235.9,244.28,230.505,241.02,241.02,805175,805200,5.12,2.17,238.27,"March 30, 20",0.0217
2020-03-31,239.37,256.645,239.16,242.24,242.24,1175693,1175500,2.87,1.2,245.73,"March 31, 20",0.012
2020-04-01,237.81,239.275,227.7,230.66,230.66,940650,940600,-7.15,-3.01,233.37,"April 01, 20",-0.0301
2020-04-02,226.02,240.76,226.02,239.7,239.699997,786736,786700,13.68,6.05,235.9,"April 02, 20",0.0605
2020-04-03,237.88,244.0,233.25,234.55,234.55,946369,946400,-3.33,-1.4,237.05,"April 03, 20",-0.014
2020-04-06,246.26,255.64,243.37,254.43,254.429993,743328,743300,8.17,3.32,250.5,"April 06, 20",0.0332
2020-04-07,260.66,264.99,247.64,251.74,251.74,723748,723700,-8.92,-3.42,255.07,"April 07, 20",-0.0342
2020-04-08,249.42,256.25,244.98,254.73,254.729996,820247,820200,5.31,2.13,251.4,"April 08, 20",0.0213
2020-04-09,256.02,261.06,252.865,258.58,258.579987,633270,633300,2.56,0.99992,257.14,"April 09, 20",0.0099992
2020-04-13,254.73,257.155,246.4,254.39,254.389999,402734,402700,-0.34,-0.13347,253.15,"April 13, 20",-0.0013347
2020-04-14,256.24,264.98,254.4,263.01,263.01,486477,486500,6.77,2.64,262.6,"April 14, 20",0.0264
2020-04-15,255.02,260.97,251.22,257.82,257.82,443946,443900,2.8,1.1,258.27,"April 15, 20",0.011
2020-04-16,261.13,266.3323,258.0,261.12,261.119995,421332,421300,-0.01,-0.00382951,261.84,"April 16, 20",-3.82951e-05
2020-04-17,268.29,268.29,260.625,265.16,265.16,416275,416300,-3.13,-1.17,264.63,"April 17, 20",-0.0117
2020-04-20,263.38,273.28,262.01,267.34,267.339996,471525,471500,3.96,1.5,267.82,"April 20, 20",0.015
2020-04-21,263.0,265.3752,256.425,259.23,259.23,428400,428400,-3.77,-1.43,259.44,"April 21, 20",-0.0143
2020-04-22,261.72,269.87,261.19,268.12,268.119995,521324,521300,6.4,2.45,267.02,"April 22, 20",0.0245
2020-04-23,268.14,274.6,267.23,268.41,268.41,422865,422800,0.27,0.10069,270.0,"April 23, 20",0.0010069
2020-04-24,271.55,274.32,268.18,271.8,271.799988,416099,416100,0.25,0.09206408,271.78,"April 24, 20",0.0009206408
