date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,319.78,323.47,314.18,317.79,317.79,799629,799629,-1.99,-0.6223,318.805,"January 02, 20",-0.006223
2020-01-03,313.41,315.98,311.97,313.64,313.64,1385087,1385087,0.23324,0.0733863,313.75,"January 03, 20",0.000733863
2020-01-06,311.93,316.54,309.79,316.36,316.36,782922,782922,4.43,1.42,313.655,"January 06, 20",0.0142
2020-01-07,318.97,321.84,316.92,320.4,320.4,812107,812107,1.44,0.44832,319.5325,"January 07, 20",0.0044832
2020-01-08,319.07,325.08,317.54,322.8,322.8,699395,699395,3.73,1.17,321.1225,"January 08, 20",0.0117
2020-01-09,325.55,327.48,323.27,325.18,325.18,905160,905160,-0.37902,-0.11365,325.37,"January 09, 20",-0.0011365
2020-01-10,327.13,330.06,324.26,326.08,326.08,979047,979047,-1.05,-0.32097,326.8825,"January 10, 20",-0.0032097
2020-01-13,326.45,328.3,304.01,314.05,314.05,2406631,2406631,-12.4,-3.8,318.2025,"January 13, 20",-0.038
2020-01-14,314.95,316.32,308.1,308.17,308.17,2237459,2237459,-6.78,-2.15,311.885,"January 14, 20",-0.0215
2020-01-15,310.99,313.1,309.06,311.37,311.37,1212723,1212723,0.37902,0.12219,311.13,"January 15, 20",0.0012219
2020-01-16,314.32,317.26,312.53,316.78,316.78,743598,743598,2.46,0.78264,315.2225,"January 16, 20",0.0078264
2020-01-17,318.5,318.69,311.43,315.57,315.57,1155340,1155340,-2.93,-0.91994,316.0475,"January 17, 20",-0.0091994
2020-01-21,314.12,321.22,313.06,319.08,319.08,1326927,1326927,4.97,1.58,316.87,"January 21, 20",0.0158
2020-01-22,319.5,323.25,318.94,321.68,321.68,850013,850013,2.18,0.68232,320.8425,"January 22, 20",0.0068232
2020-01-23,321.02,321.3,317.46,317.79,317.79,971746,971746,-3.23,-1.01,319.3925,"January 23, 20",-0.0101
2020-01-24,318.49,319.06,309.32,310.58,310.58,1101308,1101308,-7.91,-2.48,314.3625,"January 24, 20",-0.0248
2020-01-27,305.76,307.83,302.69,305.08,305.08,884031,884031,-0.68028,-0.2224,305.34,"January 27, 20",-0.002224
2020-01-28,306.57,307.74,303.62,305.43,305.43,1161936,1161936,-1.15,-0.37186,305.84,"January 28, 20",-0.0037186
2020-01-29,306.13,307.6,303.32,304.48,304.48,1292369,1292369,-1.65,-0.53899,305.3825,"January 29, 20",-0.0053899
