date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,198.57,199.28,196.93,199.09,199.09,1623000,1623000,0.52,0.26187,198.43,"January 02, 20",0.0026187
2020-01-03,196.06,198.19,194.05,197.78,197.78,1256100,1256100,1.72,0.87728,196.68,"January 03, 20",0.0087728
2020-01-06,196.67,199.21,195.98,198.59,198.59,1574400,1574400,1.92,0.97625,197.93,"January 06, 20",0.0097625
2020-01-07,196.65,196.65,191.25,194.27,194.27,3515100,3515100,-2.38,-1.21,194.05,"January 07, 20",-0.0121
2020-01-08,193.85,195.12,192.2,193.93,193.93,2679300,2679300,0.08,0.04126902,193.75,"January 08, 20",0.0004126902
2020-01-09,195.84,196.58,194.03,195.26,195.26,2988900,2988900,-0.58,-0.29616,195.29,"January 09, 20",-0.0029616
2020-01-10,201.83,205.52,199.3,199.57,199.57,3847800,3847800,-2.26,-1.12,201.46,"January 10, 20",-0.0112
2020-01-13,200.16,202.31,199.62,201.04,201.04,1845600,1845600,0.88,0.43965,200.99,"January 13, 20",0.0043965
2020-01-14,200.91,201.43,199.2,200.9,200.9,1335900,1335900,-0.01,-0.00497735,200.51,"January 14, 20",-4.97735e-05
2020-01-15,200.9,201.83,198.67,199.08,199.08,1295700,1295700,-1.82,-0.90592,199.86,"January 15, 20",-0.0090592
2020-01-16,200.53,201.27,197.69,199.43,199.43,1496700,1496700,-1.1,-0.54855,199.46,"January 16, 20",-0.0054855
2020-01-17,200.18,200.28,198.0,200.01,200.01,1777800,1777800,-0.17,-0.08492357,199.43,"January 17, 20",-0.0008492357
2020-01-21,199.43,200.83,199.12,200.55,200.55,1504200,1504200,1.12,0.5616,200.17,"January 21, 20",0.005616
2020-01-22,201.67,204.83,200.84,203.41,203.41,2031000,2031000,1.74,0.8628,203.03,"January 22, 20",0.008628
2020-01-23,203.95,205.0,202.2,205.0,205.0,2941500,2941500,1.05,0.51483,204.07,"January 23, 20",0.0051483
2020-01-24,201.6,201.67,194.61,196.4,196.4,6266400,6266400,-5.2,-2.58,197.56,"January 24, 20",-0.0258
2020-01-27,190.64,191.0,186.42,189.17,189.17,4478700,4478700,-1.47,-0.77109,188.86,"January 27, 20",-0.0077109
2020-01-28,190.11,191.15,189.17,189.91,189.91,2550000,2550000,-0.2,-0.1052,190.07,"January 28, 20",-0.001052
2020-01-29,191.67,192.57,189.33,190.47,190.47,1694400,1694400,-1.2,-0.62608,190.79,"January 29, 20",-0.0062608
2020-01-30,189.55,191.58,186.06,190.28,190.28,2236500,2236500,0.73,0.38512,189.31,"January 30, 20",0.0038512
2020-01-31,189.28,190.07,185.01,186.59,186.59,2303700,2303700,-2.69,-1.42,187.22,"January 31, 20",-0.0142
2020-02-03,187.43,188.75,186.2,188.54,188.54,2771700,2771700,1.11,0.59222,187.83,"February 03, 20",0.0059222
2020-02-04,192.06,195.0,190.89,191.36,191.36,1844700,1844700,-0.7,-0.36447,192.41,"February 04, 20",-0.0036447
2020-02-05,193.79,193.83,190.93,192.19,192.19,1548300,1548300,-1.6,-0.82564,192.32,"February 05, 20",-0.0082564
2020-02-06,192.67,194.54,191.77,193.85,193.85,1329900,1329900,1.18,0.61245,193.39,"February 06, 20",0.0061245
2020-02-07,193.78,194.34,192.78,193.14,193.14,1806000,1806000,-0.64,-0.33027,193.42,"February 07, 20",-0.0033027
2020-02-10,192.96,195.03,192.23,194.98,194.98,1209000,1209000,2.02,1.05,194.08,"February 10, 20",0.0105
2020-02-11,196.22,196.87,195.25,195.94,195.94,1293000,1293000,-0.28,-0.1427,196.02,"February 11, 20",-0.001427
2020-02-12,197.19,198.32,196.13,197.61,197.61,1398000,1398000,0.42,0.21299,197.35,"February 12, 20",0.0021299
2020-02-13,199.67,200.3,197.5,200.12,200.12,2261700,2261700,0.45,0.22537,199.31,"February 13, 20",0.0022537
2020-02-14,200.33,201.45,198.14,201.12,201.12,1911300,1911300,0.79,0.39435,200.24,"February 14, 20",0.0039435
2020-02-18,200.44,201.67,199.9,201.56,201.56,1628400,1628400,1.12,0.55877,201.04,"February 18, 20",0.0055877
2020-02-19,198.71,206.19,198.71,204.96,204.96,2213400,2213400,6.25,3.15,203.29,"February 19, 20",0.0315
2020-02-20,203.66,206.33,202.57,206.1,206.1,1909800,1909800,2.44,1.2,205.0,"February 20, 20",0.012
2020-02-21,204.12,204.98,202.23,204.36,204.36,2202300,2202300,0.24,0.11758,203.86,"February 21, 20",0.0011758
2020-02-24,196.82,198.81,192.84,193.39,193.39,2545500,2545500,-3.43,-1.74,195.01,"February 24, 20",-0.0174
2020-02-25,194.65,195.08,185.29,186.17,186.17,2652000,2652000,-8.48,-4.36,188.85,"February 25, 20",-0.0436
2020-02-26,188.33,191.27,186.27,186.51,186.51,2238600,2238600,-1.82,-0.96639,188.02,"February 26, 20",-0.0096639
2020-02-27,183.46,186.83,181.39,181.54,181.54,3199800,3199800,-1.92,-1.05,183.25,"February 27, 20",-0.0105
2020-02-28,175.97,178.95,172.85,177.99,177.99,5829600,5829600,2.02,1.15,176.6,"February 28, 20",0.0115
2020-03-02,178.65,186.53,177.41,186.36,186.36,2842500,2842500,7.71,4.32,183.43,"March 02, 20",0.0432
2020-03-03,185.57,191.67,181.26,186.09,186.09,3081600,3081600,0.52,0.28022,186.34,"March 03, 20",0.0028022
2020-03-04,189.33,194.57,187.67,194.3,194.3,2202000,2202000,4.97,2.63,192.18,"March 04, 20",0.0263
2020-03-05,190.6,192.26,186.84,189.46,189.46,2871600,2871600,-1.14,-0.59811,189.52,"March 05, 20",-0.0059811
2020-03-06,183.33,186.49,179.36,185.05,185.05,3102300,3102300,1.72,0.9382,183.63,"March 06, 20",0.009382
2020-03-09,171.71,175.97,167.0,170.22,170.22,3455100,3455100,-1.49,-0.86774,171.06,"March 09, 20",-0.0086774
2020-03-10,176.89,179.65,168.52,179.13,179.13,2935800,2935800,2.24,1.27,175.77,"March 10, 20",0.0127
2020-03-11,173.33,174.19,167.59,169.85,169.85,3014700,3014700,-3.48,-2.01,170.54,"March 11, 20",-0.0201
