date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,29.58,29.98,29.45,29.79,27.92,15064170,15064170,0.211,0.70994,29.7,"January 02, 20",0.0070994
2020-01-03,29.21,29.68,29.17,29.47,27.62,9622050,9622050,0.264,0.89011,29.3825,"January 03, 20",0.0089011
2020-01-06,28.98,29.2,28.75,28.92,27.1,13406680,13406680,-0.06,-0.20704,28.9625,"January 06, 20",-0.0020704
2020-01-07,29.17,29.85,29.14,29.62,27.76,15619670,15619670,0.45,1.54,29.445,"January 07, 20",0.0154
2020-01-08,29.75,30.17,29.52,30.0,28.11,15537260,15537260,0.249,0.84034,29.86,"January 08, 20",0.0084034
2020-01-09,30.21,30.39,29.35,29.79,27.92,13751680,13751680,-0.419,-1.39,29.935,"January 09, 20",-0.0139
2020-01-10,29.91,30.13,29.3,29.43,27.59,14052000,14052000,-0.477,-1.6,29.6925,"January 10, 20",-0.016
2020-01-13,29.44,29.73,29.25,29.73,27.86,13999310,13999310,0.291,0.98505,29.5375,"January 13, 20",0.0098505
2020-01-14,30.01,30.44,29.67,30.08,28.19,17322440,17322440,0.062,0.23326,30.05,"January 14, 20",0.0023326
2020-01-15,29.93,30.06,29.67,29.83,27.96,10829480,10829480,-0.094,-0.33411,29.8725,"January 15, 20",-0.0033411
2020-01-16,30.18,30.73,30.1,30.6,28.67,16069600,16069600,0.413,1.39,30.4025,"January 16, 20",0.0139
2020-01-17,30.71,30.85,30.22,30.8,28.87,19299170,19299170,0.095,0.29306,30.645,"January 17, 20",0.0029306
2020-01-21,30.82,31.19,30.73,30.87,28.93,15001590,15001590,0.049,0.16223,30.9025,"January 21, 20",0.0016223
2020-01-22,31.1,31.54,31.08,31.13,29.18,15040000,15040000,0.034,0.09646302,31.2125,"January 22, 20",0.0009646302
2020-01-23,31.2,31.27,30.76,31.24,29.28,15566000,15566000,0.042,0.12821,31.1175,"January 23, 20",0.0012821
2020-01-24,31.59,31.67,30.37,30.65,28.73,16325880,16325880,-0.935,-2.98,31.07,"January 24, 20",-0.0298
2020-01-27,29.7,29.87,29.27,29.38,27.53,19112640,19112640,-0.324,-1.08,29.555,"January 27, 20",-0.0108
2020-01-28,29.88,30.33,29.34,30.17,28.27,18150000,18150000,0.291,0.97055,29.93,"January 28, 20",0.0097055
2020-01-29,30.22,30.4,29.59,29.82,27.95,18157610,18157610,-0.401,-1.32,30.0075,"January 29, 20",-0.0132
2020-01-30,31.84,31.9,30.58,31.1,29.14,39431280,39431280,-0.745,-2.32,31.355,"January 30, 20",-0.0232
2020-01-31,30.8,30.9,29.73,29.82,27.95,24365000,24365000,-0.979,-3.18,30.3125,"January 31, 20",-0.0318
2020-02-03,30.0,30.96,30.0,30.84,28.91,19477580,19477580,0.844,2.8,30.45,"February 03, 20",0.028
2020-02-04,31.66,32.68,31.61,32.54,30.5,25310480,25310480,0.884,2.78,32.1225,"February 04, 20",0.0278
2020-02-05,33.12,33.25,32.37,32.56,30.52,21572000,21572000,-0.561,-1.69,32.825,"February 05, 20",-0.0169
2020-02-06,32.6,32.69,32.3,32.35,30.32,12625000,12625000,-0.248,-0.76687,32.485,"February 06, 20",-0.0076687
2020-02-07,32.06,32.13,31.47,31.54,29.56,16028880,16028880,-0.523,-1.62,31.8,"February 07, 20",-0.0162
2020-02-10,31.4,31.99,31.3,31.98,29.98,10886970,10886970,0.585,1.85,31.6675,"February 10, 20",0.0185
2020-02-11,32.29,32.68,32.29,32.57,30.52,15207400,15207400,0.28,0.86714,32.4575,"February 11, 20",0.0086714
2020-02-12,32.8,33.52,32.8,33.46,31.36,16872000,16872000,0.662,2.01,33.145,"February 12, 20",0.0201
2020-02-13,33.51,34.43,33.36,34.16,32.01,21105090,21105090,0.653,1.94,33.865,"February 13, 20",0.0194
2020-02-14,34.15,34.42,33.68,33.93,31.8,11099350,11099350,-0.219,-0.64422,34.045,"February 14, 20",-0.0064422
2020-02-18,32.32,33.2,32.3,32.53,30.49,27538420,27538420,0.21,0.64975,32.5875,"February 18, 20",0.0064975
2020-02-19,33.12,33.54,33.03,33.39,31.29,15396000,15396000,0.267,0.81522,33.27,"February 19, 20",0.0081522
2020-02-20,33.2,33.4,32.4,32.85,30.79,18878010,18878010,-0.346,-1.05,32.9625,"February 20, 20",-0.0105
2020-02-21,32.62,32.7,31.52,31.68,29.69,21613960,21613960,-0.942,-2.88,32.13,"February 21, 20",-0.0288
2020-02-24,29.92,30.53,29.51,30.05,28.16,31022460,31022460,0.126,0.43449,30.0025,"February 24, 20",0.0043449
2020-02-25,30.58,30.69,28.94,29.22,27.39,25498290,25498290,-1.36,-4.45,29.8575,"February 25, 20",-0.0445
2020-02-26,29.62,30.46,29.46,29.66,27.8,23799770,23799770,0.036,0.13504,29.8,"February 26, 20",0.0013504
2020-02-27,28.56,29.38,28.2,28.57,26.78,28722000,28722000,0.006,0.03501401,28.6775,"February 27, 20",0.0003501401
2020-02-28,27.58,29.45,27.37,29.34,27.5,31992370,31992370,1.76,6.38,28.435,"February 28, 20",0.0638
2020-03-02,29.66,30.06,28.4,30.03,28.15,23473000,23473000,0.369,1.25,29.5375,"March 02, 20",0.0125
2020-03-03,30.03,30.83,28.86,29.15,27.32,25103000,25103000,-0.884,-2.93,29.7175,"March 03, 20",-0.0293
2020-03-04,29.89,30.63,29.38,30.62,28.7,19170000,19170000,0.737,2.44,30.13,"March 04, 20",0.0244
