date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,151.5,152.6,151.03,151.49,146.61,1905600,1905600,-0.01,-0.00660066,151.655,"January 02, 20",-6.60066e-05
2020-01-03,149.19,150.02,148.74,149.27,144.46,2116944,2116944,0.08,0.0536229,149.305,"January 03, 20",0.000536229
2020-01-06,147.9,147.99,146.21,147.34,142.59,2178244,2178244,-0.56,-0.37863,147.36,"January 06, 20",-0.0037863
2020-01-07,146.74,147.22,144.68,144.94,140.27,2073528,2073528,-1.8,-1.23,145.895,"January 07, 20",-0.0123
2020-01-08,145.13,147.62,144.72,146.73,142.0,1412800,1412800,1.6,1.1,146.05,"January 08, 20",0.011
2020-01-09,147.46,147.59,146.2,146.45,141.73,1197938,1197938,-1.01,-0.68493,146.925,"January 09, 20",-0.0068493
2020-01-10,146.2,146.57,145.05,145.39,140.7,848200,848200,-0.81,-0.55404,145.8025,"January 10, 20",-0.0055404
2020-01-13,145.76,146.98,145.54,146.8,142.07,987538,987538,1.04,0.7135,146.27,"January 13, 20",0.007135
2020-01-14,146.41,147.63,146.11,147.15,142.41,944731,944731,0.74,0.50543,146.825,"January 14, 20",0.0050543
2020-01-15,146.77,148.15,146.65,147.3,142.55,800192,800192,0.53,0.36111,147.2175,"January 15, 20",0.0036111
2020-01-16,147.98,149.04,147.5,149.02,144.22,804500,804500,1.04,0.7028,148.385,"January 16, 20",0.007028
2020-01-17,149.19,150.63,148.07,150.26,145.42,1058900,1058900,1.07,0.71721,149.5375,"January 17, 20",0.0071721
2020-01-21,148.08,148.44,143.42,144.37,139.72,2757200,2757200,-3.71,-2.51,146.0775,"January 21, 20",-0.0251
2020-01-22,145.0,147.19,143.75,144.12,139.47,1297129,1297129,-0.88,-0.6069,145.015,"January 22, 20",-0.006069
2020-01-23,142.43,145.06,141.25,144.96,140.29,1863100,1863100,2.53,1.78,143.425,"January 23, 20",0.0178
2020-01-24,144.97,145.02,139.84,141.02,136.47,2073428,2073428,-3.95,-2.72,142.7125,"January 24, 20",-0.0272
2020-01-27,137.73,139.63,133.36,138.0,133.55,2641200,2641200,0.27,0.19604,137.18,"January 27, 20",0.0019604
2020-01-28,138.71,141.79,138.32,141.25,136.7,1958500,1958500,2.54,1.83,140.0175,"January 28, 20",0.0183
2020-01-29,141.5,143.24,140.38,142.61,138.01,1290700,1290700,1.11,0.78445,141.9325,"January 29, 20",0.0078445
2020-01-30,140.54,143.54,138.83,143.31,138.69,1848612,1848612,2.78,1.97,141.555,"January 30, 20",0.0197
2020-01-31,142.15,142.25,138.95,140.06,135.54,2070215,2070215,-2.09,-1.47,140.8525,"January 31, 20",-0.0147
2020-02-03,141.7,144.46,140.87,141.48,136.92,1527600,1527600,-0.22,-0.15526,142.1275,"February 03, 20",-0.0015526
2020-02-04,144.47,148.24,143.68,147.4,142.65,1812900,1812900,2.93,2.03,145.9475,"February 04, 20",0.0203
2020-02-05,149.72,150.17,147.31,147.71,142.95,1872525,1872525,-2.01,-1.34,148.7275,"February 05, 20",-0.0134
2020-02-06,148.29,148.87,145.78,146.22,141.51,1065900,1065900,-2.07,-1.4,147.29,"February 06, 20",-0.014
