date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,55.06,55.35,54.11,54.33,48.32,7272946,7272946,-0.73,-1.33,54.7125,"January 02, 20",-0.0133
2020-01-03,54.0,54.57,53.96,54.24,48.24,6791739,6791739,0.24,0.44444,54.1925,"January 03, 20",0.0044444
2020-01-06,54.39,54.48,53.85,54.15,48.16,5906400,5906400,-0.24,-0.44126,54.2175,"January 06, 20",-0.0044126
2020-01-07,54.05,54.08,53.57,53.92,47.95,6716447,6716447,-0.13,-0.24052,53.905,"January 07, 20",-0.0024052
2020-01-08,54.03,54.42,53.91,54.05,48.07,5435515,5435515,0.02,0.03701647,54.1025,"January 08, 20",0.0003701647
2020-01-09,54.09,54.38,53.93,54.19,48.19,5653906,5653906,0.1,0.18488,54.1475,"January 09, 20",0.0018488
2020-01-10,54.47,54.48,54.14,54.25,48.24,4639027,4639027,-0.22,-0.40389,54.335,"January 10, 20",-0.0040389
2020-01-13,54.36,54.61,54.32,54.59,48.55,7528806,7528806,0.23,0.42311,54.47,"January 13, 20",0.0042311
2020-01-14,54.63,54.67,54.04,54.19,48.19,5984200,5984200,-0.44,-0.80542,54.3825,"January 14, 20",-0.0080542
2020-01-15,54.53,54.98,54.31,54.74,48.68,5681700,5681700,0.21,0.38511,54.64,"January 15, 20",0.0038511
2020-01-16,54.83,55.34,54.79,55.19,49.08,5481791,5481791,0.36,0.65657,55.0375,"January 16, 20",0.0065657
2020-01-17,55.14,55.38,55.02,55.16,49.05,9336363,9336363,0.02,0.03627131,55.175,"January 17, 20",0.0003627131
2020-01-21,54.96,55.84,54.84,55.54,49.39,9152630,9152630,0.58,1.06,55.295,"January 21, 20",0.0106
2020-01-22,55.74,55.94,55.44,55.46,49.32,4505300,4505300,-0.28,-0.50233,55.645,"January 22, 20",-0.0050233
2020-01-23,55.35,55.65,55.1,55.44,49.3,6536600,6536600,0.09,0.1626,55.385,"January 23, 20",0.001626
