date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,31.98,32.01,31.66,31.85,31.85,3566000,3566000,-0.13,-0.4065,31.84,"January 02, 20",-0.004065
2020-01-03,31.56,31.81,31.43,31.64,31.64,3482200,3482200,0.08,0.25349,31.63,"January 03, 20",0.0025349
2020-01-06,31.5,31.76,31.5,31.69,31.69,4469200,4469200,0.19,0.60317,31.65,"January 06, 20",0.0060317
2020-01-07,31.93,32.07,31.77,31.84,31.84,6735600,6735600,-0.09,-0.28187,31.89,"January 07, 20",-0.0028187
2020-01-08,31.85,32.03,31.68,31.91,31.91,6053600,6053600,0.06,0.18838,31.87,"January 08, 20",0.0018838
2020-01-09,32.08,32.17,31.86,32.13,32.13,6613000,6613000,0.05,0.15586,32.05,"January 09, 20",0.0015586
2020-01-10,32.34,33.1,32.25,32.67,32.67,8936400,8936400,0.33,1.02,32.67,"January 10, 20",0.0102
2020-01-13,32.7,32.85,32.33,32.76,32.76,5419800,5419800,0.06,0.18349,32.65,"January 13, 20",0.0018349
2020-01-14,32.77,32.94,32.65,32.79,32.79,5768800,5768800,0.02,0.06103143,32.79,"January 14, 20",0.0006103143
2020-01-15,32.81,33.08,32.61,32.94,32.94,5894200,5894200,0.13,0.39622,32.88,"January 15, 20",0.0039622
2020-01-16,33.08,33.58,32.99,33.55,33.55,5228800,5228800,0.47,1.42,33.37,"January 16, 20",0.0142
2020-01-17,33.6,33.81,33.35,33.65,33.65,8846200,8846200,0.05,0.14881,33.6,"January 17, 20",0.0014881
2020-01-21,33.65,33.71,33.2,33.41,33.41,4751000,4751000,-0.24,-0.71322,33.44,"January 21, 20",-0.0071322
2020-01-22,33.47,33.75,33.36,33.74,33.74,3979800,3979800,0.27,0.80669,33.62,"January 22, 20",0.0080669
2020-01-23,33.67,33.97,33.58,33.88,33.88,4477000,4477000,0.21,0.6237,33.81,"January 23, 20",0.006237
2020-01-24,34.0,34.01,33.47,33.55,33.55,4698800,4698800,-0.45,-1.32,33.67,"January 24, 20",-0.0132
2020-01-27,33.28,33.53,33.17,33.3,33.3,4479000,4479000,0.02,0.06009615,33.33,"January 27, 20",0.0006009615
2020-01-28,33.31,33.56,33.31,33.44,33.44,5429400,5429400,0.13,0.39027,33.43,"January 28, 20",0.0039027
2020-01-29,33.37,33.46,33.13,33.28,33.28,3698600,3698600,-0.09,-0.2697,33.29,"January 29, 20",-0.002697
2020-01-30,33.15,33.57,32.9,33.51,33.51,4988600,4988600,0.36,1.09,33.33,"January 30, 20",0.0109
2020-01-31,33.42,33.74,33.1,33.3,33.3,6732600,6732600,-0.12,-0.35907,33.38,"January 31, 20",-0.0035907
2020-02-03,34.44,34.47,33.7,33.71,33.71,9039000,9039000,-0.73,-2.12,33.96,"February 03, 20",-0.0212
2020-02-04,33.81,34.72,33.81,34.44,34.44,11572000,11572000,0.63,1.86,34.32,"February 04, 20",0.0186
2020-02-05,34.63,34.87,34.4,34.47,34.47,5838400,5838400,-0.16,-0.46203,34.58,"February 05, 20",-0.0046203
2020-02-06,34.71,34.77,34.4,34.72,34.72,8602000,8602000,0.01,0.02881014,34.63,"February 06, 20",0.0002881014
2020-02-07,34.65,34.83,34.44,34.46,34.46,4785800,4785800,-0.19,-0.54834,34.58,"February 07, 20",-0.0054834
2020-02-10,34.41,34.74,34.41,34.58,34.58,6544800,6544800,0.17,0.49404,34.58,"February 10, 20",0.0049404
