date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,128.61,129.5,127.19,128.54,117.86,2247936,2247936,-0.07,-0.05442812,128.46,"January 02, 20",-0.0005442812
2020-01-03,126.23,128.28,126.12,127.3,116.73,1546142,1546142,1.07,0.84766,126.9825,"January 03, 20",0.0084766
2020-01-06,125.4,126.99,124.68,126.4,115.9,2157907,2157907,1.0,0.79745,125.8675,"January 06, 20",0.0079745
2020-01-07,127.5,129.78,127.0,128.04,117.41,2595859,2595859,0.54,0.42353,128.08,"January 07, 20",0.0042353
2020-01-08,128.21,129.11,127.13,128.36,117.7,1589100,1589100,0.15,0.117,128.2025,"January 08, 20",0.00117
2020-01-09,129.8,130.95,128.69,129.18,118.45,2429658,2429658,-0.62,-0.47766,129.655,"January 09, 20",-0.0047766
2020-01-10,130.11,130.83,129.18,129.64,118.87,2294000,2294000,-0.47,-0.36123,129.94,"January 10, 20",-0.0036123
2020-01-13,131.0,132.51,130.15,131.98,121.02,2313983,2313983,0.98,0.74809,131.41,"January 13, 20",0.0074809
2020-01-14,131.4,133.68,131.29,132.71,121.69,2499353,2499353,1.31,0.99696,132.27,"January 14, 20",0.0099696
2020-01-15,132.45,132.91,131.56,132.5,121.49,2206200,2206200,0.05,0.03775009,132.355,"January 15, 20",0.0003775009
2020-01-16,133.98,134.96,132.8,134.18,123.04,2495100,2495100,0.2,0.14928,133.98,"January 16, 20",0.0014928
2020-01-17,134.99,135.48,132.47,133.84,122.72,2268300,2268300,-1.15,-0.85191,134.195,"January 17, 20",-0.0085191
2020-01-21,133.4,134.45,132.69,133.96,122.83,2018213,2018213,0.56,0.41979,133.625,"January 21, 20",0.0041979
2020-01-22,134.52,136.3,133.48,134.64,123.46,2422027,2422027,0.12,0.08920607,134.735,"January 22, 20",0.0008920607
2020-01-23,134.89,137.22,134.85,136.41,125.08,2534130,2534130,1.52,1.13,135.8425,"January 23, 20",0.0113
2020-01-24,137.49,137.92,134.55,135.28,124.04,2887925,2887925,-2.21,-1.61,136.31,"January 24, 20",-0.0161
2020-01-27,131.56,131.73,128.06,130.45,119.61,3781242,3781242,-1.11,-0.84372,130.45,"January 27, 20",-0.0084372
2020-01-28,132.5,133.65,131.24,132.68,121.66,2207844,2207844,0.18,0.13585,132.5175,"January 28, 20",0.0013585
2020-01-29,133.05,134.77,131.74,132.66,121.64,2273470,2273470,-0.39,-0.29312,133.055,"January 29, 20",-0.0029312
2020-01-30,130.81,132.01,128.85,131.62,120.69,2039836,2039836,0.81,0.61922,130.8225,"January 30, 20",0.0061922
2020-01-31,130.02,130.97,126.05,126.86,116.32,4448584,4448584,-3.16,-2.43,128.475,"January 31, 20",-0.0243
2020-02-03,127.69,129.03,125.01,125.7,115.26,4207394,4207394,-1.99,-1.56,126.8575,"February 03, 20",-0.0156
2020-02-04,133.0,134.5,127.75,130.51,119.67,5560000,5560000,-2.49,-1.87,131.44,"February 04, 20",-0.0187
2020-02-05,133.4,136.84,132.43,134.23,123.08,4386733,4386733,0.83,0.62219,134.225,"February 05, 20",0.0062219
2020-02-06,135.37,135.75,133.05,135.34,124.1,2082800,2082800,-0.03,-0.02216148,134.8775,"February 06, 20",-0.0002216148
2020-02-07,134.49,134.86,132.0,132.26,121.27,2522440,2522440,-2.23,-1.66,133.4025,"February 07, 20",-0.0166
2020-02-10,130.75,133.31,130.46,133.19,122.13,1769690,1769690,2.44,1.87,131.9275,"February 10, 20",0.0187
2020-02-11,134.13,137.16,133.79,135.52,124.26,2407000,2407000,1.39,1.04,135.15,"February 11, 20",0.0104
2020-02-12,136.58,138.43,136.15,137.83,126.38,2592920,2592920,1.25,0.91521,137.2475,"February 12, 20",0.0091521
2020-02-13,136.87,139.26,135.98,138.69,127.17,1426200,1426200,1.82,1.33,137.7,"February 13, 20",0.0133
2020-02-14,138.88,139.59,134.69,137.08,125.69,1846700,1846700,-1.8,-1.3,137.56,"February 14, 20",-0.013
2020-02-18,134.41,135.49,132.61,133.87,122.75,1919928,1919928,-0.54,-0.40176,134.095,"February 18, 20",-0.0040176
2020-02-19,134.91,137.32,134.31,134.95,123.74,2028200,2028200,0.04,0.0296494,135.3725,"February 19, 20",0.000296494
2020-02-20,134.33,135.14,131.62,134.8,123.6,2295000,2295000,0.47,0.34988,133.9725,"February 20, 20",0.0034988
2020-02-21,134.59,137.12,129.54,130.5,119.66,3522122,3522122,-4.09,-3.04,132.9375,"February 21, 20",-0.0304
2020-02-24,124.55,125.58,123.22,124.04,113.74,5135500,5135500,-0.51,-0.40947,124.3475,"February 24, 20",-0.0040947
2020-02-25,125.59,125.9,119.0,120.82,110.78,4628537,4628537,-4.77,-3.8,122.8275,"February 25, 20",-0.038
2020-02-26,121.54,122.87,118.23,119.47,109.55,4415467,4415467,-2.07,-1.7,120.5275,"February 26, 20",-0.017
2020-02-27,115.34,117.84,113.9,114.64,105.12,4950815,4950815,-0.7,-0.6069,115.43,"February 27, 20",-0.006069
2020-02-28,110.02,115.6,110.0,113.69,104.25,5507119,5507119,3.67,3.34,112.3275,"February 28, 20",0.0334
2020-03-02,117.59,120.34,114.43,120.08,110.11,4306264,4306264,2.49,2.12,118.11,"March 02, 20",0.0212
2020-03-03,119.41,122.78,116.34,116.56,106.88,3969722,3969722,-2.85,-2.39,118.7725,"March 03, 20",-0.0239
2020-03-04,118.22,121.34,117.51,121.27,111.2,2755954,2755954,3.05,2.58,119.585,"March 04, 20",0.0258
2020-03-05,116.55,118.92,114.03,115.27,105.7,3161542,3161542,-1.28,-1.1,116.1925,"March 05, 20",-0.011
2020-03-06,110.74,114.07,109.13,111.69,102.41,3544483,3544483,0.95,0.85787,111.4075,"March 06, 20",0.0085787
2020-03-09,104.7,108.0,101.46,101.97,93.5,5696661,5696661,-2.73,-2.61,104.0325,"March 09, 20",-0.0261
2020-03-10,104.43,107.4,101.63,106.85,97.98,4622472,4622472,2.42,2.32,105.0775,"March 10, 20",0.0232
2020-03-11,103.63,105.33,98.87,100.52,92.17,4958102,4958102,-3.11,-3.0,102.0875,"March 11, 20",-0.03
2020-03-12,86.4,97.23,86.0,91.97,84.33,7271900,7271900,5.57,6.45,90.4,"March 12, 20",0.0645
2020-03-13,96.0,99.7,87.55,95.54,87.96,7099132,7099132,-0.46,-0.47917,94.6975,"March 13, 20",-0.0047917
2020-03-16,84.54,86.82,78.26,80.32,73.95,7781200,7781200,-4.22,-4.99,82.485,"March 16, 20",-0.0499
2020-03-17,81.65,81.98,75.6,80.08,73.73,9133944,9133944,-1.57,-1.92,79.8275,"March 17, 20",-0.0192
2020-03-18,73.35,76.78,58.41,64.56,59.44,10744549,10744549,-8.79,-11.98,68.275,"March 18, 20",-0.1198
2020-03-19,64.83,77.24,63.05,76.12,70.08,6107945,6107945,11.29,17.41,70.31,"March 19, 20",0.1741
