date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,52.79,53.11,52.42,53.01,44.08,2597100,2597100,0.21333,0.41675,52.8325,"January 02, 20",0.0041675
2020-01-03,52.21,52.55,51.78,52.49,43.65,2407057,2407057,0.28,0.5363,52.2575,"January 03, 20",0.005363
2020-01-06,52.18,52.35,51.61,52.29,43.49,2700742,2700742,0.11333,0.21081,52.1075,"January 06, 20",0.0021081
2020-01-07,51.87,52.07,51.52,51.95,43.2,2611200,2611200,0.073334,0.15423,51.8525,"January 07, 20",0.0015423
2020-01-08,52.16,52.8,51.5,52.64,43.78,2749366,2749366,0.48,0.92025,52.275,"January 08, 20",0.0092025
2020-01-09,52.56,52.77,51.72,52.3,43.49,2748600,2748600,-0.26,-0.49467,52.3375,"January 09, 20",-0.0049467
2020-01-10,52.38,52.49,51.81,51.87,43.14,1808400,1808400,-0.50667,-0.97365,52.1375,"January 10, 20",-0.0097365
2020-01-13,51.95,52.08,51.6,52.04,43.28,1625900,1625900,0.093333,0.17324,51.9175,"January 13, 20",0.0017324
2020-01-14,52.47,52.65,52.03,52.13,43.36,2159100,2159100,-0.34,-0.64799,52.32,"January 14, 20",-0.0064799
2020-01-15,51.93,52.02,51.5,51.64,42.94,2195850,2195850,-0.28667,-0.55844,51.7725,"January 15, 20",-0.0055844
2020-01-16,51.94,52.38,51.63,52.37,43.55,1995521,1995521,0.43333,0.82788,52.08,"January 16, 20",0.0082788
2020-01-17,52.53,52.83,52.15,52.35,43.53,2582250,2582250,-0.18,-0.34266,52.465,"January 17, 20",-0.0034266
2020-01-21,52.32,52.32,51.51,51.69,42.99,2291850,2291850,-0.62667,-1.2,51.96,"January 21, 20",-0.012
2020-01-22,51.91,51.93,51.22,51.29,42.66,1486800,1486800,-0.62,-1.19,51.5875,"January 22, 20",-0.0119
2020-01-23,51.15,51.84,50.46,51.73,43.02,1802550,1802550,0.58667,1.13,51.295,"January 23, 20",0.0113
2020-01-24,51.49,51.51,50.82,51.19,42.57,2311110,2311110,-0.29333,-0.58264,51.2525,"January 24, 20",-0.0058264
2020-01-27,50.21,50.57,49.9,50.11,41.67,3552450,3552450,-0.10333,-0.19916,50.1975,"January 27, 20",-0.0019916
2020-01-28,50.89,51.69,49.98,51.18,42.56,4816050,4816050,0.28667,0.56986,50.935,"January 28, 20",0.0056986
2020-01-29,51.49,52.05,50.65,50.74,42.2,3579859,3579859,-0.74667,-1.46,51.2325,"January 29, 20",-0.0146
2020-01-30,50.34,50.77,49.99,50.71,42.17,3097648,3097648,0.36667,0.735,50.4525,"January 30, 20",0.00735
2020-01-31,50.31,50.34,49.24,49.47,41.14,4968651,4968651,-0.84,-1.67,49.84,"January 31, 20",-0.0167
2020-02-03,49.92,50.33,49.42,49.56,41.22,3851776,3851776,-0.36,-0.72115,49.8075,"February 03, 20",-0.0072115
2020-02-04,50.41,50.88,50.23,50.79,42.24,3712099,3712099,0.37333,0.75382,50.5775,"February 04, 20",0.0075382
2020-02-05,51.49,52.11,51.31,51.99,43.24,2982667,2982667,0.5,0.97106,51.725,"February 05, 20",0.0097106
2020-02-06,52.15,52.33,51.51,51.73,43.02,2523900,2523900,-0.42,-0.80537,51.93,"February 06, 20",-0.0080537
