date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,136.87,137.23,135.14,135.82,116.6,3784100,3784100,-1.05,-0.76715,136.265,"January 02, 20",-0.0076715
2020-01-03,135.46,136.79,135.13,135.63,116.44,4000100,4000100,0.17,0.1255,135.7525,"January 03, 20",0.001255
2020-01-06,135.3,136.32,135.2,136.15,116.89,4085432,4085432,0.85,0.62823,135.7425,"January 06, 20",0.0062823
2020-01-07,136.0,136.07,133.95,134.01,115.05,5722453,5722453,-1.99,-1.46,135.0075,"January 07, 20",-0.0146
2020-01-08,134.46,135.36,134.07,134.7,115.64,3681400,3681400,0.24,0.17849,134.6475,"January 08, 20",0.0017849
2020-01-09,135.29,135.38,134.53,134.79,115.72,3954737,3954737,-0.5,-0.36958,134.9975,"January 09, 20",-0.0036958
2020-01-10,135.17,135.42,134.39,134.53,115.5,3100675,3100675,-0.64,-0.47348,134.8775,"January 10, 20",-0.0047348
2020-01-13,134.65,136.59,134.63,136.53,117.21,5127511,5127511,1.88,1.4,135.6,"January 13, 20",0.014
2020-01-14,136.18,136.94,135.7,136.85,117.49,4161493,4161493,0.67,0.492,136.4175,"January 14, 20",0.00492
2020-01-15,137.04,139.25,136.8,139.2,119.51,5002877,5002877,2.16,1.58,138.0725,"January 15, 20",0.0158
2020-01-16,139.35,140.16,138.6,139.61,119.86,4977937,4977937,0.26,0.18658,139.43,"January 16, 20",0.0018658
2020-01-17,140.1,141.32,139.9,141.26,121.28,6909002,6909002,1.16,0.82798,140.645,"January 17, 20",0.0082798
2020-01-21,140.61,142.12,140.34,141.86,121.79,4440000,4440000,1.25,0.88898,141.2325,"January 21, 20",0.0088898
2020-01-22,141.81,143.57,141.72,143.38,123.1,5366139,5366139,1.57,1.11,142.62,"January 22, 20",0.0111
2020-01-23,143.09,143.85,142.37,143.65,123.33,3916109,3916109,0.56,0.39136,143.24,"January 23, 20",0.0039136
2020-01-24,143.83,144.15,142.45,142.92,122.7,2791516,2791516,-0.915,-0.63269,143.3375,"January 24, 20",-0.0063269
2020-01-27,141.65,143.36,141.05,142.14,122.03,3895300,3895300,0.49,0.34592,142.05,"January 27, 20",0.0034592
2020-01-28,142.13,142.92,141.76,142.44,122.29,2908401,2908401,0.31,0.21811,142.3125,"January 28, 20",0.0021811
2020-01-29,142.0,142.45,141.17,141.73,121.68,3263305,3263305,-0.27,-0.19014,141.8375,"January 29, 20",-0.0019014
2020-01-30,142.32,143.96,141.52,143.83,123.48,4058500,4058500,1.51,1.06,142.9075,"January 30, 20",0.0106
2020-01-31,143.81,144.65,141.57,142.02,121.93,4753380,4753380,-1.79,-1.24,143.0125,"January 31, 20",-0.0124
2020-02-03,142.77,143.07,141.84,142.51,122.35,3978171,3978171,-0.26,-0.18211,142.5475,"February 03, 20",-0.0018211
2020-02-04,143.2,144.06,142.1,143.22,122.96,3494609,3494609,0.02,0.01396648,143.145,"February 04, 20",0.0001396648
2020-02-05,143.68,144.59,143.43,144.3,123.89,3504900,3504900,0.62,0.43151,144.0,"February 05, 20",0.0043151
2020-02-06,144.64,145.3,144.07,144.33,123.91,3571487,3571487,-0.31,-0.21433,144.585,"February 06, 20",-0.0021433
2020-02-07,144.26,145.72,143.83,145.37,124.8,3138839,3138839,1.11,0.76944,144.795,"February 07, 20",0.0076944
2020-02-10,145.93,146.42,145.13,145.66,125.05,3775732,3775732,-0.27,-0.18502,145.785,"February 10, 20",-0.0018502
2020-02-11,146.21,146.36,144.87,146.08,125.41,3870894,3870894,-0.13,-0.08891321,145.88,"February 11, 20",-0.0008891321
2020-02-12,146.68,146.74,145.35,146.08,125.41,4217415,4217415,-0.6,-0.40905,146.2125,"February 12, 20",-0.0040905
2020-02-13,145.25,147.13,143.52,146.47,125.75,5041400,5041400,1.22,0.83993,145.5925,"February 13, 20",0.0083993
2020-02-14,146.57,147.15,145.94,146.99,126.19,3555977,3555977,0.42,0.28655,146.6625,"February 14, 20",0.0028655
2020-02-18,147.11,147.2,145.4,145.6,125.0,4938700,4938700,-1.51,-1.03,146.3275,"February 18, 20",-0.0103
2020-02-19,145.62,146.48,145.49,145.53,124.94,2978831,2978831,-0.09,-0.0618047,145.78,"February 19, 20",-0.000618047
2020-02-20,145.77,145.8,143.95,145.16,124.62,2806193,2806193,-0.61,-0.41847,145.17,"February 20, 20",-0.0041847
