date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,89.05,89.81,88.08,88.69,78.96,8416991,8416991,-0.36,-0.40427,88.9075,"January 02, 20",-0.0040427
2020-01-03,87.26,87.64,86.44,87.02,77.47,8340945,8340945,-0.24,-0.27504,87.09,"January 03, 20",-0.0027504
2020-01-06,85.91,86.55,85.54,86.51,77.02,8383247,8383247,0.6,0.69841,86.1275,"January 06, 20",0.0069841
2020-01-07,87.04,89.49,86.91,88.97,79.21,8477788,8477788,1.93,2.22,88.1025,"January 07, 20",0.0222
2020-01-08,88.9,89.47,87.92,88.71,78.98,7621947,7621947,-0.19,-0.21372,88.75,"January 08, 20",-0.0021372
2020-01-09,89.66,90.72,88.83,89.91,80.04,9182018,9182018,0.25,0.27883,89.78,"January 09, 20",0.0027883
2020-01-10,90.51,92.39,89.87,90.26,80.36,9670161,9670161,-0.25,-0.27621,90.7575,"January 10, 20",-0.0027621
2020-01-13,91.05,92.73,90.55,90.97,80.99,10372103,10372103,-0.08,-0.08786381,91.325,"January 13, 20",-0.0008786381
2020-01-14,91.13,91.61,90.29,90.56,80.62,7801839,7801839,-0.57,-0.62548,90.8975,"January 14, 20",-0.0062548
2020-01-15,90.75,91.18,89.25,89.67,79.83,7259100,7259100,-1.08,-1.19,90.2125,"January 15, 20",-0.0119
2020-01-16,90.22,92.23,89.82,91.79,81.72,9295519,9295519,1.57,1.74,91.015,"January 16, 20",0.0174
2020-01-17,93.0,96.17,92.95,95.91,85.39,23694400,23694400,2.91,3.13,94.5075,"January 17, 20",0.0313
2020-01-21,95.33,95.72,93.42,94.54,84.17,10868537,10868537,-0.79,-0.8287,94.7525,"January 21, 20",-0.008287
2020-01-22,95.26,95.39,92.71,92.97,82.77,8342302,8342302,-2.29,-2.4,94.0825,"January 22, 20",-0.024
2020-01-23,92.85,92.95,91.46,92.0,81.91,11282020,11282020,-0.85,-0.91546,92.315,"January 23, 20",-0.0091546
2020-01-24,92.68,93.25,88.83,89.65,79.81,9471700,9471700,-3.03,-3.27,91.1025,"January 24, 20",-0.0327
2020-01-27,87.3,88.22,86.45,87.05,77.5,9240203,9240203,-0.2535,-0.28637,87.255,"January 27, 20",-0.0028637
2020-01-28,88.15,89.54,87.39,89.15,79.37,9187000,9187000,1.0,1.13,88.5575,"January 28, 20",0.0113
