date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,214.4,216.16,213.98,216.16,209.33,31014904,31014904,1.76,0.8209,215.175,"January 02, 20",0.008209
2020-01-03,213.29,215.47,213.28,214.18,207.42,27532657,27532657,0.89,0.41727,214.055,"January 03, 20",0.0041727
2020-01-06,212.49,215.59,212.24,215.56,208.75,21726989,21726989,3.07,1.44,213.97,"January 06, 20",0.0144
2020-01-07,215.64,216.14,214.85,215.53,208.72,23120994,23120994,-0.11,-0.05101094,215.54,"January 07, 20",-0.0005101094
2020-01-08,215.47,218.14,215.16,217.15,210.29,26464212,26464212,1.68,0.77969,216.48,"January 08, 20",0.0077969
2020-01-09,218.91,219.41,217.71,218.99,212.07,23641291,23641291,0.08,0.0365447,218.755,"January 09, 20",0.000365447
2020-01-10,219.76,219.87,218.04,218.43,211.53,21914631,21914631,-1.33,-0.60521,219.025,"January 10, 20",-0.0060521
2020-01-13,219.31,220.98,218.98,220.95,213.97,22846102,22846102,1.64,0.7478,220.055,"January 13, 20",0.007478
2020-01-14,220.75,221.21,219.74,220.08,213.13,24573340,24573340,-0.67,-0.30351,220.445,"January 14, 20",-0.0030351
2020-01-15,220.18,221.2,219.45,220.17,213.22,25742100,25742100,-0.01,-0.00454174,220.25,"January 15, 20",-4.54174e-05
2020-01-16,221.24,222.32,220.8,222.28,215.26,18805000,18805000,1.04,0.47008,221.66,"January 16, 20",0.0047008
2020-01-17,223.24,223.56,222.12,223.38,216.33,24325200,24325200,0.14,0.06271278,223.075,"January 17, 20",0.0006271278
2020-01-21,222.73,223.84,222.66,223.28,216.23,21146300,21146300,0.55,0.24694,223.1275,"January 21, 20",0.0024694
2020-01-22,224.38,225.15,223.59,223.87,216.8,20736403,20736403,-0.51,-0.22729,224.2475,"January 22, 20",-0.0022729
2020-01-23,223.71,224.69,222.7,224.59,217.5,26496113,26496113,0.88,0.39337,223.9225,"January 23, 20",0.0039337
2020-01-24,225.62,225.88,221.67,222.7,215.67,37436500,37436500,-2.92,-1.29,223.9675,"January 24, 20",-0.0129
2020-01-27,217.72,219.28,217.18,218.1,211.21,42264418,42264418,0.38,0.17454,218.07,"January 27, 20",0.0017454
2020-01-28,219.6,221.96,219.06,221.45,214.46,26731900,26731900,1.85,0.84244,220.5175,"January 28, 20",0.0084244
2020-01-29,222.66,222.93,220.83,221.81,214.8,29063128,29063128,-0.85,-0.38175,222.0575,"January 29, 20",-0.0038175
2020-01-30,220.37,222.7,219.69,222.6,215.57,39568100,39568100,2.23,1.01,221.34,"January 30, 20",0.0101
2020-01-31,223.5,223.56,218.29,219.07,212.15,52015832,52015832,-4.43,-1.98,221.105,"January 31, 20",-0.0198
2020-02-03,220.14,222.89,219.99,222.38,215.36,25468307,25468307,2.24,1.02,221.35,"February 03, 20",0.0102
2020-02-04,225.39,227.86,224.65,227.47,220.29,30691211,30691211,2.08,0.92284,226.3425,"February 04, 20",0.0092284
2020-02-05,230.22,230.25,226.85,228.22,221.01,38534817,38534817,-2.0,-0.86873,228.885,"February 05, 20",-0.0086873
2020-02-06,228.77,230.25,227.98,230.19,222.92,22467100,22467100,1.42,0.62071,229.2975,"February 06, 20",0.0062071
2020-02-07,229.16,230.44,228.54,229.2,221.96,25884933,25884933,0.04,0.01745505,229.335,"February 07, 20",0.0001745505
2020-02-10,228.43,231.98,228.38,231.97,224.64,21478925,21478925,3.54,1.55,230.19,"February 10, 20",0.0155
2020-02-11,233.21,234.02,231.4,232.01,224.68,30198000,30198000,-1.2,-0.51456,232.66,"February 11, 20",-0.0051456
2020-02-12,233.34,234.38,232.8,234.27,226.87,24471300,24471300,0.93,0.39856,233.6975,"February 12, 20",0.0039856
2020-02-13,232.62,234.93,232.36,233.97,226.58,22773200,22773200,1.35,0.58035,233.47,"February 13, 20",0.0058035
2020-02-14,234.28,234.86,233.55,234.64,227.23,23438530,23438530,0.36,0.15366,234.3325,"February 14, 20",0.0015366
2020-02-18,233.47,235.17,233.25,234.73,227.32,24521242,24521242,1.26,0.53968,234.155,"February 18, 20",0.0053968
2020-02-19,236.07,237.47,235.85,236.98,229.5,22230500,22230500,0.91,0.38548,236.5925,"February 19, 20",0.0038548
2020-02-20,236.46,236.95,231.88,234.78,227.37,42604016,42604016,-1.68,-0.71048,235.0175,"February 20, 20",-0.0071048
2020-02-21,233.64,234.01,229.32,230.27,223.0,66058611,66058611,-3.37,-1.44,231.81,"February 21, 20",-0.0144
2020-02-24,221.84,224.25,220.26,221.39,214.4,84522600,84522600,-0.45,-0.20285,221.935,"February 24, 20",-0.0020285
2020-02-25,223.19,223.99,214.74,215.37,208.57,97743000,97743000,-7.82,-3.5,219.3225,"February 25, 20",-0.035
2020-02-26,216.67,220.28,214.9,216.48,209.64,80400053,80400053,-0.19,-0.08769096,217.0825,"February 26, 20",-0.0008769096
2020-02-27,211.05,216.42,205.5,205.64,199.15,121822600,121822600,-5.41,-2.56,209.6525,"February 27, 20",-0.0256
2020-02-28,198.92,207.17,198.17,205.8,199.3,149247073,149247073,6.88,3.46,202.515,"February 28, 20",0.0346
2020-03-02,208.88,216.57,205.94,216.42,209.59,112933945,112933945,7.54,3.61,211.9525,"March 02, 20",0.0361
2020-03-03,217.11,219.61,207.62,209.48,202.86,131953546,131953546,-7.63,-3.51,213.455,"March 03, 20",-0.0351
2020-03-04,213.32,218.33,211.37,218.22,211.33,73086209,73086209,4.9,2.3,215.31,"March 04, 20",0.023
2020-03-05,212.69,216.36,210.1,211.59,204.91,78705500,78705500,-1.1,-0.51718,212.685,"March 05, 20",-0.0051718
2020-03-06,204.67,209.15,202.91,208.02,201.45,89828400,89828400,3.35,1.64,206.1875,"March 06, 20",0.0164
2020-03-09,193.48,201.16,192.11,193.57,187.46,116424000,116424000,0.09,0.04651644,195.08,"March 09, 20",0.0004651644
2020-03-10,201.11,204.3,193.68,204.11,197.66,100599233,100599233,3.0,1.49,200.8,"March 10, 20",0.0149
2020-03-11,199.35,200.75,192.73,195.22,189.05,89168800,89168800,-4.13,-2.07,197.0125,"March 11, 20",-0.0207
2020-03-12,182.09,190.78,176.94,177.32,171.72,137820700,137820700,-4.77,-2.62,181.7825,"March 12, 20",-0.0262
2020-03-13,187.07,194.48,178.13,192.34,186.27,134882000,134882000,5.27,2.82,188.005,"March 13, 20",0.0282
2020-03-16,174.15,184.68,169.16,169.3,163.95,92054400,92054400,-4.85,-2.78,174.3225,"March 16, 20",-0.0278
2020-03-17,175.47,184.39,169.78,182.14,176.39,121257108,121257108,6.67,3.8,177.945,"March 17, 20",0.038
2020-03-18,171.61,179.22,166.8,176.6,171.02,114156320,114156320,5.0,2.91,173.5575,"March 18, 20",0.0291
2020-03-19,175.69,183.49,171.63,177.66,172.05,120896500,120896500,1.97,1.12,177.1175,"March 19, 20",0.0112
2020-03-20,181.74,182.87,170.1,170.7,165.31,118983900,118983900,-11.04,-6.07,176.3525,"March 20, 20",-0.0607
2020-03-23,170.92,174.21,164.93,170.46,165.43,124639800,124639800,-0.46,-0.26913,170.13,"March 23, 20",-0.0026913
2020-03-24,179.91,183.83,177.95,183.66,178.24,94881800,94881800,3.75,2.08,181.3375,"March 24, 20",0.0208
2020-03-25,184.42,189.51,179.98,182.3,176.92,88754909,88754909,-2.12,-1.15,184.0525,"March 25, 20",-0.0115
2020-03-26,183.87,192.72,183.61,191.9,186.24,79887600,79887600,8.03,4.37,188.025,"March 26, 20",0.0437
2020-03-27,186.93,190.51,184.66,185.3,179.83,58845000,58845000,-1.63,-0.87198,186.85,"March 27, 20",-0.0087198
2020-03-30,187.1,192.49,186.34,192.04,186.37,49356936,49356936,4.94,2.64,189.4925,"March 30, 20",0.0264
2020-03-31,191.53,195.25,189.2,190.4,184.78,62659300,62659300,-1.13,-0.58999,191.595,"March 31, 20",-0.0058999
2020-04-01,184.81,187.66,180.86,182.31,176.93,53715400,53715400,-2.5,-1.35,183.91,"April 01, 20",-0.0135
2020-04-02,181.59,190.1,180.97,186.01,180.52,56465348,56465348,4.42,2.43,184.6675,"April 02, 20",0.0243
2020-04-03,185.5,187.07,181.29,183.37,177.96,47487621,47487621,-2.13,-1.15,184.3075,"April 03, 20",-0.0115
2020-04-06,190.38,197.65,189.19,196.48,190.68,64763518,64763518,6.1,3.2,193.425,"April 06, 20",0.032
2020-04-07,202.14,202.66,196.0,196.4,190.6,69904500,69904500,-5.74,-2.84,199.3,"April 07, 20",-0.0284
2020-04-08,198.08,201.17,196.17,200.57,194.65,45940439,45940439,2.49,1.26,198.9975,"April 08, 20",0.0126
2020-04-09,202.27,203.22,199.03,200.86,194.93,68323929,68323929,-1.41,-0.69709,201.345,"April 09, 20",-0.0069709
2020-04-13,199.92,203.42,198.75,203.03,197.04,42853948,42853948,3.11,1.56,201.28,"April 13, 20",0.0156
2020-04-14,207.17,212.5,206.42,211.86,205.61,63959600,63959600,4.69,2.26,209.4875,"April 14, 20",0.0226
2020-04-15,208.48,211.83,207.12,209.43,203.25,47036000,47036000,0.95,0.45568,209.215,"April 15, 20",0.0045568
2020-04-16,211.78,214.37,209.69,213.25,206.95,64657400,64657400,1.47,0.69412,212.2725,"April 16, 20",0.0069412
2020-04-17,215.96,216.51,212.08,215.29,208.93,62863223,62863223,-0.67,-0.31024,214.96,"April 17, 20",-0.0031024
2020-04-20,213.27,215.88,212.57,212.74,206.46,38249128,38249128,-0.53,-0.24851,213.615,"April 20, 20",-0.0024851
2020-04-21,210.63,211.16,203.63,204.89,198.84,72932800,72932800,-5.74,-2.73,207.5775,"April 21, 20",-0.0273
2020-04-22,209.14,212.35,208.33,210.97,204.74,40188772,40188772,1.83,0.87501,210.1975,"April 22, 20",0.0087501
2020-04-23,211.8,214.44,210.1,210.52,204.31,43278542,43278542,-1.28,-0.60434,211.715,"April 23, 20",-0.0060434
2020-04-24,210.94,214.3,209.5,213.84,207.53,34303365,34303365,2.9,1.37,212.145,"April 24, 20",0.0137
2020-04-27,216.18,216.63,214.5,215.56,209.2,36451700,36451700,-0.62,-0.2868,215.7175,"April 27, 20",-0.002868
2020-04-28,217.27,217.32,211.21,211.5,205.26,46862816,46862816,-5.77,-2.66,214.325,"April 28, 20",-0.0266
2020-04-29,216.21,219.97,215.14,219.0,212.54,48716406,48716406,2.79,1.29,217.58,"April 29, 20",0.0129
2020-04-30,220.01,220.04,217.35,218.91,212.45,43359500,43359500,-1.1,-0.49998,219.0775,"April 30, 20",-0.0049998
2020-05-01,214.54,216.67,211.68,212.74,206.46,48795000,48795000,-1.8,-0.839,213.9075,"May 01, 20",-0.00839
2020-05-04,211.61,215.45,211.12,215.22,208.87,32841020,32841020,3.61,1.71,213.35,"May 04, 20",0.0171
2020-05-05,217.4,220.14,216.85,217.66,211.23,37783100,37783100,0.26,0.1196,218.0125,"May 05, 20",0.001196
2020-05-06,219.37,221.04,218.11,219.0,212.54,36455218,36455218,-0.37,-0.16866,219.38,"May 06, 20",-0.0016866
2020-05-07,221.75,222.73,220.42,221.82,215.27,38624836,38624836,0.07,0.03156708,221.68,"May 07, 20",0.0003156708
2020-05-08,223.55,225.0,222.48,224.86,218.22,31964416,31964416,1.31,0.586,223.9725,"May 08, 20",0.00586
2020-05-11,223.5,227.93,223.25,226.87,220.17,35714128,35714128,3.37,1.51,225.3875,"May 11, 20",0.0151
2020-05-12,227.48,228.1,222.09,222.12,215.56,41054123,41054123,-5.36,-2.36,224.9475,"May 12, 20",-0.0236
2020-05-13,222.65,224.61,216.71,219.34,212.87,65521208,65521208,-3.31,-1.49,220.8275,"May 13, 20",-0.0149
2020-05-14,218.12,221.87,215.99,221.83,215.28,51549345,51549345,3.71,1.7,219.4525,"May 14, 20",0.017
2020-05-15,218.77,223.33,218.33,223.27,216.68,55747208,55747208,4.5,2.06,220.925,"May 15, 20",0.0206
2020-05-18,226.28,228.68,225.47,227.43,220.72,42597551,42597551,1.15,0.50822,226.965,"May 18, 20",0.0050822
2020-05-19,227.66,229.85,226.71,226.86,220.16,36237303,36237303,-0.8,-0.3514,227.77,"May 19, 20",-0.003514
2020-05-20,229.48,231.76,229.48,231.39,224.56,37417000,37417000,1.91,0.83232,230.5275,"May 20, 20",0.0083232
2020-05-21,231.49,232.14,228.34,228.87,222.11,43642908,43642908,-2.62,-1.13,230.21,"May 21, 20",-0.0113
2020-05-22,228.46,229.87,227.5,229.66,222.88,28762400,28762400,1.2,0.52526,228.8725,"May 22, 20",0.0052526
2020-05-26,233.44,233.57,228.79,229.04,222.28,33055346,33055346,-4.4,-1.88,231.21,"May 26, 20",-0.0188
2020-05-27,228.51,230.41,223.94,230.29,223.49,55665600,55665600,1.78,0.77896,228.2875,"May 27, 20",0.0077896
2020-05-28,229.05,233.47,229.05,229.99,223.2,43008478,43008478,0.94,0.41039,230.39,"May 28, 20",0.0041039
2020-05-29,230.43,233.6,228.76,233.36,226.47,50878596,50878596,2.93,1.27,231.5375,"May 29, 20",0.0127
2020-06-01,232.4,234.45,232.0,234.06,227.15,26140125,26140125,1.66,0.71429,233.2275,"June 01, 20",0.0071429
2020-06-02,234.42,235.69,232.01,235.63,228.67,33383415,33383415,1.21,0.51617,234.4375,"June 02, 20",0.0051617
2020-06-03,236.23,237.47,235.35,236.69,229.7,37228701,37228701,0.46,0.19473,236.435,"June 03, 20",0.0019473
2020-06-04,236.32,237.79,233.68,235.03,228.09,38716100,38716100,-1.29,-0.54587,235.705,"June 04, 20",-0.0054587
2020-06-05,236.06,240.3,235.63,239.69,232.61,47365600,47365600,3.63,1.54,237.92,"June 05, 20",0.0154
2020-06-08,239.54,241.68,237.91,241.55,234.42,32937305,32937305,2.01,0.83911,240.17,"June 08, 20",0.0083911
2020-06-09,240.66,244.18,240.47,243.3,236.12,35046300,35046300,2.64,1.1,242.1525,"June 09, 20",0.011
2020-06-10,245.0,247.82,244.51,246.22,238.95,58084410,58084410,1.22,0.49796,245.8875,"June 10, 20",0.0049796
2020-06-11,242.29,243.59,233.96,234.02,227.11,72919442,72919442,-8.27,-3.41,238.465,"June 11, 20",-0.0341
2020-06-12,239.09,240.4,231.74,235.88,228.92,72034800,72034800,-3.21,-1.34,236.7775,"June 12, 20",-0.0134
2020-06-15,232.44,239.45,231.47,238.75,231.7,45307400,45307400,6.31,2.71,235.5275,"June 15, 20",0.0271
2020-06-16,243.78,244.39,239.1,242.85,235.68,48890100,48890100,-0.93,-0.38149,242.53,"June 16, 20",-0.0038149
2020-06-17,244.4,245.5,242.73,243.62,236.43,34749300,34749300,-0.78,-0.31915,244.0625,"June 17, 20",-0.0031915
2020-06-18,243.29,244.53,242.49,244.28,237.07,30578648,30578648,0.99,0.40692,243.6475,"June 18, 20",0.0040692
2020-06-19,246.74,247.0,242.45,244.24,237.03,49422112,49422112,-2.5,-1.01,245.1075,"June 19, 20",-0.0101
2020-06-22,243.77,246.87,243.38,246.74,239.87,24068700,24068700,2.97,1.22,245.19,"June 22, 20",0.0122
2020-06-23,248.39,251.15,247.82,248.84,241.91,32767400,32767400,0.45,0.18117,249.05,"June 23, 20",0.0018117
2020-06-24,247.99,249.33,242.16,243.71,236.93,46032400,46032400,-4.28,-1.73,245.7975,"June 24, 20",-0.0173
2020-06-25,243.91,246.34,241.14,246.03,239.18,36940811,36940811,2.12,0.86917,244.355,"June 25, 20",0.0086917
2020-06-26,245.75,245.96,239.68,240.22,233.53,52824600,52824600,-5.53,-2.25,242.9025,"June 26, 20",-0.0225
2020-06-29,239.98,242.85,237.35,242.84,236.08,34377800,34377800,2.86,1.19,240.755,"June 29, 20",0.0119
2020-06-30,242.77,248.16,242.58,247.6,240.71,38909219,38909219,4.83,1.99,245.2775,"June 30, 20",0.0199
2020-07-01,247.66,251.52,247.08,250.49,243.52,34689213,34689213,2.83,1.14,249.1875,"July 01, 20",0.0114
2020-07-02,252.97,254.27,251.71,252.19,245.17,31956500,31956500,-0.78,-0.30834,252.785,"July 02, 20",-0.0030834
2020-07-06,255.46,258.93,255.43,258.39,251.2,34589049,34589049,2.93,1.15,257.0525,"July 06, 20",0.0115
2020-07-07,258.1,260.88,256.3,256.61,249.47,36578200,36578200,-1.49,-0.5773,257.9725,"July 07, 20",-0.005773
2020-07-08,258.0,260.02,256.5,259.99,252.75,30426300,30426300,1.99,0.77132,258.6275,"July 08, 20",0.0077132
2020-07-09,261.89,262.87,257.63,262.18,254.88,40312906,40312906,0.29,0.11073,261.1425,"July 09, 20",0.0011073
2020-07-10,262.0,264.23,259.26,263.97,256.62,32885300,32885300,1.97,0.75191,262.365,"July 10, 20",0.0075191
2020-07-13,266.87,269.79,257.69,258.54,251.34,64108100,64108100,-8.33,-3.12,263.2225,"July 13, 20",-0.0312
2020-07-14,256.07,260.79,252.76,260.37,253.12,72230512,72230512,4.3,1.68,257.4975,"July 14, 20",0.0168
2020-07-15,261.68,262.69,257.49,260.9,253.64,54523900,54523900,-0.78,-0.29807,260.69,"July 15, 20",-0.0029807
2020-07-16,257.97,259.78,255.62,259.12,251.91,47594111,47594111,1.15,0.44579,258.1225,"July 16, 20",0.0044579
2020-07-17,259.71,260.31,257.17,259.42,252.2,35137900,35137900,-0.29,-0.11166,259.1525,"July 17, 20",-0.0011166
2020-07-20,260.12,267.43,258.79,266.78,259.36,40610128,40610128,6.66,2.56,263.28,"July 20, 20",0.0256
2020-07-21,268.41,268.41,263.13,264.0,256.65,43442967,43442967,-4.41,-1.64,265.9875,"July 21, 20",-0.0164
2020-07-22,264.46,265.89,262.55,264.93,257.56,29865519,29865519,0.47,0.17772,264.4575,"July 22, 20",0.0017772
2020-07-23,264.55,265.24,256.55,258.01,250.83,51363538,51363538,-6.54,-2.47,261.0875,"July 23, 20",-0.0247
2020-07-24,254.12,256.93,251.32,255.56,248.45,54054536,54054536,1.44,0.56666,254.4825,"July 24, 20",0.0056666
2020-07-27,257.36,260.52,256.45,260.12,252.88,36445741,36445741,2.76,1.07,258.6125,"July 27, 20",0.0107
2020-07-28,259.33,259.85,256.51,256.81,249.66,31302400,31302400,-2.52,-0.97173,258.125,"July 28, 20",-0.0097173
2020-07-29,258.33,260.66,257.91,259.77,252.54,27556900,27556900,1.44,0.55743,259.1675,"July 29, 20",0.0055743
2020-07-30,257.78,261.71,256.55,261.13,253.86,41774500,41774500,3.35,1.3,259.2925,"July 30, 20",0.013
2020-07-31,265.83,265.95,260.85,265.79,258.39,53756159,53756159,-0.04,-0.01504721,264.605,"July 31, 20",-0.0001504721
2020-08-03,268.05,270.15,267.87,269.38,261.88,32081600,32081600,1.33,0.49618,268.8625,"August 03, 20",0.0049618
2020-08-04,268.74,270.48,268.09,270.38,262.86,24911300,24911300,1.64,0.61026,269.4225,"August 04, 20",0.0061026
2020-08-05,270.83,271.52,269.96,271.05,263.51,21685921,21685921,0.22,0.08123177,270.84,"August 05, 20",0.0008123177
2020-08-06,270.78,274.98,270.19,274.64,267.0,28048224,28048224,3.86,1.43,272.6475,"August 06, 20",0.0143
2020-08-07,274.04,274.88,269.25,271.47,263.91,44969400,44969400,-2.57,-0.93782,272.41,"August 07, 20",-0.0093782
2020-08-10,271.74,271.98,266.67,270.31,262.79,35088400,35088400,-1.43,-0.52624,270.175,"August 10, 20",-0.0052624
2020-08-11,269.1,270.44,264.63,265.19,257.81,43104323,43104323,-3.91,-1.45,267.34,"August 11, 20",-0.0145
2020-08-12,267.37,272.84,267.37,271.86,264.29,38894272,38894272,4.49,1.68,269.86,"August 12, 20",0.0168
2020-08-13,272.64,274.83,271.51,272.48,264.9,31895717,31895717,-0.16,-0.05868545,272.865,"August 13, 20",-0.0005868545
2020-08-14,273.01,273.4,270.72,272.16,264.59,30799500,30799500,-0.85,-0.31134,272.3225,"August 14, 20",-0.0031134
2020-08-17,273.91,275.84,272.2,275.32,267.66,24803000,24803000,1.41,0.51477,274.3175,"August 17, 20",0.0051477
2020-08-18,276.41,278.46,274.91,277.97,270.23,23529500,23529500,1.56,0.56438,276.9375,"August 18, 20",0.0056438
2020-08-19,277.93,279.02,275.57,276.1,268.42,31999400,31999400,-1.83,-0.65844,277.155,"August 19, 20",-0.0065844
