date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,88.12,89.35,88.05,89.35,79.86,6475843,6475843,1.23,1.4,88.7175,"January 02, 20",0.014
2020-01-03,88.66,89.1,88.1,88.83,79.4,4874916,4874916,0.17,0.19174,88.6725,"January 03, 20",0.0019174
2020-01-06,88.11,88.41,87.47,88.13,78.77,5409850,5409850,0.02,0.0226989,88.03,"January 06, 20",0.000226989
2020-01-07,87.96,88.03,87.13,87.86,78.53,6533541,6533541,-0.1,-0.11369,87.745,"January 07, 20",-0.0011369
2020-01-08,87.94,89.35,87.78,88.88,79.44,7297235,7297235,0.94,1.07,88.4875,"January 08, 20",0.0107
2020-01-09,90.25,91.16,90.07,90.53,80.92,9450166,9450166,0.28,0.31025,90.5025,"January 09, 20",0.0031025
2020-01-10,90.8,90.89,89.63,90.16,80.59,7098085,7098085,-0.64,-0.70485,90.37,"January 10, 20",-0.0070485
2020-01-13,90.62,91.72,90.21,91.08,81.41,7382968,7382968,0.46,0.50761,90.9075,"January 13, 20",0.0050761
2020-01-14,91.19,91.44,90.86,90.99,81.33,5855400,5855400,-0.2,-0.21932,91.12,"January 14, 20",-0.0021932
2020-01-15,91.0,92.06,91.0,91.54,81.82,6145518,6145518,0.54,0.59341,91.4,"January 15, 20",0.0059341
2020-01-16,91.99,92.61,91.63,92.58,82.75,5180320,5180320,0.59,0.64137,92.2025,"January 16, 20",0.0064137
2020-01-17,92.93,93.75,92.81,93.62,83.68,6962800,6962800,0.69,0.74249,93.2775,"January 17, 20",0.0074249
2020-01-21,92.83,93.6,92.19,92.53,82.71,7094600,7094600,-0.3,-0.32317,92.7875,"January 21, 20",-0.0032317
2020-01-22,93.14,93.75,92.47,92.53,82.71,6157412,6157412,-0.61,-0.65493,92.9725,"January 22, 20",-0.0065493
2020-01-23,91.92,93.85,90.74,93.75,83.8,6100777,6100777,1.83,1.99,92.565,"January 23, 20",0.0199
2020-01-24,94.0,94.13,91.34,92.03,82.26,7815501,7815501,-1.97,-2.1,92.875,"January 24, 20",-0.021
2020-01-27,88.63,89.45,87.55,88.73,79.31,11066500,11066500,0.1,0.11283,88.59,"January 27, 20",0.0011283
2020-01-28,89.05,89.19,87.72,88.6,79.19,11922400,11922400,-0.45,-0.50533,88.64,"January 28, 20",-0.0050533
2020-01-29,88.15,88.44,85.6,86.72,77.51,17703897,17703897,-1.43,-1.62,87.2275,"January 29, 20",-0.0162
2020-01-30,85.45,86.59,84.69,85.84,76.73,12224941,12224941,0.39,0.45641,85.6425,"January 30, 20",0.0045641
2020-01-31,85.79,85.99,84.52,84.83,75.82,11693902,11693902,-0.96,-1.12,85.2825,"January 31, 20",-0.0112
2020-02-03,85.07,86.79,85.07,86.01,76.88,9092620,9092620,0.94,1.1,85.735,"February 03, 20",0.011
2020-02-04,87.14,89.0,86.62,88.38,79.0,9997100,9997100,1.24,1.42,87.785,"February 04, 20",0.0142
2020-02-05,88.88,89.2,86.63,87.56,78.63,9982700,9982700,-1.32,-1.49,88.0675,"February 05, 20",-0.0149
2020-02-06,87.65,87.7,86.15,86.15,77.36,8901403,8901403,-1.5,-1.71,86.9125,"February 06, 20",-0.0171
2020-02-07,85.76,86.62,85.32,86.42,77.61,8073908,8073908,0.66,0.76959,86.03,"February 07, 20",0.0076959
2020-02-10,86.43,87.62,86.17,87.53,78.6,7289300,7289300,1.1,1.27,86.9375,"February 10, 20",0.0127
2020-02-11,87.86,88.23,87.35,87.51,78.58,5098622,5098622,-0.35,-0.39836,87.7375,"February 11, 20",-0.0039836
2020-02-12,87.71,89.1,87.39,88.57,79.54,7747800,7747800,0.86,0.9805,88.1925,"February 12, 20",0.009805
2020-02-13,88.5,90.51,88.26,89.93,80.75,8576615,8576615,1.42,1.62,89.3,"February 13, 20",0.0162
2020-02-14,90.18,90.41,88.99,89.28,80.17,5686900,5686900,-0.9,-0.998,89.715,"February 14, 20",-0.00998
2020-02-18,89.37,89.47,88.29,89.23,80.13,5291147,5291147,-0.14,-0.15665,89.09,"February 18, 20",-0.0015665
2020-02-19,89.49,90.44,89.3,90.14,80.95,5210834,5210834,0.65,0.72634,89.8425,"February 19, 20",0.0072634
2020-02-20,89.73,90.25,87.73,88.6,79.56,5969200,5969200,-1.13,-1.26,89.0775,"February 20, 20",-0.0126
2020-02-21,88.0,88.39,87.0,87.36,78.45,5801705,5801705,-0.64,-0.72727,87.6875,"February 21, 20",-0.0072727
2020-02-24,84.53,86.05,84.26,84.52,75.9,8313643,8313643,-0.01,-0.01183012,84.84,"February 24, 20",-0.0001183012
2020-02-25,85.02,85.35,81.67,82.19,73.81,9404000,9404000,-2.83,-3.33,83.5575,"February 25, 20",-0.0333
2020-02-26,82.6,83.24,80.64,80.67,72.44,10549302,10549302,-1.93,-2.34,81.7875,"February 26, 20",-0.0234
2020-02-27,78.83,80.87,77.36,78.29,70.31,17120832,17120832,-0.54,-0.68502,78.8375,"February 27, 20",-0.0068502
2020-02-28,76.17,78.81,75.72,78.43,70.43,19120249,19120249,2.26,2.97,77.2825,"February 28, 20",0.0297
2020-03-02,77.92,82.41,77.66,82.38,73.98,14258700,14258700,4.46,5.72,80.0925,"March 02, 20",0.0572
2020-03-03,82.3,82.62,78.11,78.6,70.58,12395900,12395900,-3.7,-4.5,80.4075,"March 03, 20",-0.045
