date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,113.69,114.85,111.35,112.41,112.41,1040875,1040800,-1.28,-1.13,112.32,"January 02, 20",-0.0113
2020-01-03,110.74,113.95,109.95,112.65,112.65,632883,632900,1.91,1.72,112.45,"January 03, 20",0.0172
2020-01-06,111.83,112.19,110.22,111.0,111.0,923841,923800,-0.83,-0.7422,111.15,"January 06, 20",-0.007422
2020-01-07,111.22,112.6,109.99,111.32,111.32,860369,860300,0.1,0.08991189,111.53,"January 07, 20",0.0008991189
2020-01-08,111.7,112.42,110.77,111.2,111.199997,753730,753700,-0.5,-0.44763,111.29,"January 08, 20",-0.0044763
2020-01-09,112.2,112.64,110.92,111.83,111.83,596762,596600,-0.37,-0.32977,111.76,"January 09, 20",-0.0032977
2020-01-10,111.98,114.48,111.87,112.44,112.44,829028,829000,0.46,0.41079,112.68,"January 10, 20",0.0041079
2020-01-13,112.23,112.23,104.24,105.47,105.47,1664220,1663900,-6.76,-6.02,105.73,"January 13, 20",-0.0602
2020-01-14,104.85,109.09,104.54,107.75,107.75,1584700,1584700,2.9,2.77,107.34,"January 14, 20",0.0277
2020-01-15,108.55,108.7839,106.065,106.65,106.65,763785,763500,-1.9,-1.75,107.18,"January 15, 20",-0.0175
2020-01-16,107.33,107.74,105.89,107.66,107.66,1021463,1021500,0.33,0.30746,107.05,"January 16, 20",0.0030746
2020-01-17,108.41,109.03,107.08,109.0,109.0,745715,745700,0.59,0.54423,108.55,"January 17, 20",0.0054423
2020-01-21,108.38,109.795,108.22,108.67,108.669998,948929,948800,0.29,0.26758,108.77,"January 21, 20",0.0026758
2020-01-22,108.86,111.79,108.11,111.7,111.7,973714,973700,2.84,2.61,111.37,"January 22, 20",0.0261
2020-01-23,111.9,115.75,111.0,115.35,115.349998,1194565,1194600,3.45,3.08,114.25,"January 23, 20",0.0308
2020-01-24,115.18,118.655,112.29,113.57,113.57,1898919,1898900,-1.61,-1.4,115.03,"January 24, 20",-0.014
2020-01-27,112.2,112.525,108.87,110.43,110.43,1013706,1013700,-1.77,-1.58,110.52,"January 27, 20",-0.0158
2020-01-28,111.71,113.33,110.69,112.93,112.93,842046,842000,1.22,1.09,112.19,"January 28, 20",0.0109
2020-01-29,112.61,112.928,109.54,111.81,111.809998,632960,633000,-0.8,-0.71042,111.59,"January 29, 20",-0.0071042
2020-01-30,111.1,111.94,108.82,109.87,109.87,790165,790200,-1.23,-1.11,109.78,"January 30, 20",-0.0111
2020-01-31,109.23,111.3005,107.14,108.39,108.389999,801383,801400,-0.84,-0.76902,108.65,"January 31, 20",-0.0076902
2020-02-03,108.51,110.46,107.82,108.68,108.68,822380,819800,0.17,0.15667,108.96,"February 03, 20",0.0015667
