date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,122.01,122.4,119.71,121.67,108.64,2351900,2351900,-0.34,-0.27867,121.4475,"January 02, 20",-0.0027867
2020-01-03,119.91,120.89,117.65,118.65,105.94,2339614,2339614,-1.26,-1.05,119.275,"January 03, 20",-0.0105
2020-01-06,117.04,117.46,115.08,116.56,104.07,3177401,3177401,-0.48,-0.41012,116.535,"January 06, 20",-0.0041012
2020-01-07,117.17,118.48,116.3,117.67,105.07,2062950,2062950,0.5,0.42673,117.405,"January 07, 20",0.0042673
2020-01-08,118.08,120.87,117.59,119.54,106.74,2139042,2139042,1.46,1.24,119.02,"January 08, 20",0.0124
2020-01-09,120.9,121.23,117.6,119.65,106.83,1935951,1935951,-1.25,-1.03,119.845,"January 09, 20",-0.0103
2020-01-10,121.29,121.5,119.64,120.08,107.22,2430118,2430118,-1.21,-0.99761,120.6275,"January 10, 20",-0.0099761
2020-01-13,121.19,125.23,121.06,124.51,111.17,2961308,2961308,3.32,2.74,122.9975,"January 13, 20",0.0274
2020-01-14,125.27,125.75,122.61,123.34,110.13,2184572,2184572,-1.93,-1.54,124.2425,"January 14, 20",-0.0154
2020-01-15,123.0,123.25,119.92,120.42,107.52,2165608,2165608,-2.58,-2.1,121.6475,"January 15, 20",-0.021
2020-01-16,121.72,123.34,121.45,123.09,109.9,1667560,1667560,1.37,1.13,122.4,"January 16, 20",0.0113
2020-01-17,123.94,124.75,123.02,124.17,110.87,1979440,1979440,0.23,0.18557,123.97,"January 17, 20",0.0018557
2020-01-21,124.01,125.47,123.6,123.8,110.54,2158500,2158500,-0.21,-0.16934,124.22,"January 21, 20",-0.0016934
2020-01-22,124.68,126.93,124.55,124.9,111.52,2597000,2597000,0.22,0.17645,125.265,"January 22, 20",0.0017645
2020-01-23,125.43,128.33,124.41,128.19,114.46,4327607,4327607,2.76,2.2,126.59,"January 23, 20",0.022
