date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,46.87,47.9,46.51,47.33,47.33,1375114,1377200,0.46,0.98144,47.29,"January 02, 20",0.0098144
2020-01-03,46.62,47.89,46.61,47.38,47.38,1166011,1165200,0.76,1.63,47.38,"January 03, 20",0.0163
2020-01-06,46.9,48.96,46.81,48.7,48.7,1536130,1534600,1.8,3.84,48.38,"January 06, 20",0.0384
2020-01-07,49.04,49.69,48.17,48.4,48.4,1721199,1714900,-0.64,-1.31,48.72,"January 07, 20",-0.0131
2020-01-08,48.14,51.75,47.8,50.75,50.75,3233729,3232500,2.61,5.42,50.35,"January 08, 20",0.0542
2020-01-09,51.16,54.08,51.04,54.0,54.0,4280318,4279200,2.84,5.55,52.94,"January 09, 20",0.0555
2020-01-10,54.0,55.35,53.95,55.0,55.0,4005274,4006000,1.0,1.85,54.77,"January 10, 20",0.0185
2020-01-13,55.5,59.8,55.45,59.62,59.619999,4000830,3985700,4.12,7.42,58.52,"January 13, 20",0.0742
2020-01-14,59.61,59.89,57.0,59.54,59.54,3446285,3445600,-0.07,-0.11743,58.74,"January 14, 20",-0.0011743
2020-01-15,58.81,60.76,58.36,59.99,59.99,2909232,2909000,1.18,2.01,59.92,"January 15, 20",0.0201
2020-01-16,60.01,61.84,59.76,61.82,61.82,2918778,2916700,1.81,3.02,60.96,"January 16, 20",0.0302
2020-01-17,62.0,62.29,58.91,59.43,59.43,3098864,3098900,-2.57,-4.15,60.24,"January 17, 20",-0.0415
2020-01-21,59.29,61.0,58.33,60.51,60.509998,2175329,2175300,1.22,2.06,60.26,"January 21, 20",0.0206
2020-01-22,61.12,62.69,59.87,59.92,59.919998,2726335,2726300,-1.2,-1.96,61.4,"January 22, 20",-0.0196
2020-01-23,59.99,60.38,59.0734,59.31,59.31,1825385,1825400,-0.68,-1.13,59.75,"January 23, 20",-0.0113
2020-01-24,59.7,60.45,57.13,57.8,57.799999,2359443,2359300,-1.9,-3.18,58.38,"January 24, 20",-0.0318
2020-01-27,55.55,56.58,54.75,56.04,56.04,2068425,2068400,0.49,0.88209,55.89,"January 27, 20",0.0088209
2020-01-28,56.52,56.91,56.02,56.5,56.5,1165726,1165300,-0.02,-0.0353857,56.47,"January 28, 20",-0.000353857
2020-01-29,56.93,57.64,56.08,57.13,57.13,1360682,1359900,0.2,0.35131,57.11,"January 29, 20",0.0035131
2020-01-30,56.91,58.2,56.51,57.69,57.689999,1375663,1375700,0.78,1.37,57.47,"January 30, 20",0.0137
2020-01-31,57.75,57.91,55.94,56.09,56.09,1823614,1823400,-1.66,-2.87,56.46,"January 31, 20",-0.0287
2020-02-03,56.56,57.09,55.85,56.82,56.82,951260,951100,0.26,0.45969,56.77,"February 03, 20",0.0045969
2020-02-04,58.19,59.63,57.68,58.88,58.88,1431662,1431400,0.69,1.19,58.89,"February 04, 20",0.0119
2020-02-05,60.0,60.4,58.09,58.51,58.509998,1636135,1635900,-1.49,-2.48,58.96,"February 05, 20",-0.0248
2020-02-06,59.0,59.0,57.01,58.4,58.4,1015340,1015300,-0.6,-1.02,58.43,"February 06, 20",-0.0102
2020-02-07,58.38,59.88,57.99,58.97,58.97,955861,955800,0.59,1.01,59.02,"February 07, 20",0.0101
2020-02-10,59.05,61.0,58.74,60.84,60.84,1130533,1130500,1.79,3.03,60.22,"February 10, 20",0.0303
2020-02-11,61.26,61.6,59.66,60.92,60.919998,1366172,1366200,-0.34,-0.55501,60.81,"February 11, 20",-0.0055501
2020-02-12,61.22,61.43,59.06,60.48,60.48,1569655,1569500,-0.74,-1.21,60.07,"February 12, 20",-0.0121
2020-02-13,60.09,62.255,59.9,61.9,61.9,1672221,1672200,1.81,3.01,61.49,"February 13, 20",0.0301
2020-02-14,62.16,63.07,61.72,62.11,62.11,1334783,1334800,-0.05,-0.08043758,62.24,"February 14, 20",-0.0008043758
2020-02-18,62.0,65.5,61.65,63.86,63.86,2577368,2576500,1.86,3.0,64.06,"February 18, 20",0.03
2020-02-19,64.64,65.81,64.01,65.17,65.169998,2236294,2236300,0.53,0.81993,65.06,"February 19, 20",0.0081993
2020-02-20,65.47,66.5,62.55,65.18,65.18,4711048,4711000,-0.29,-0.44295,63.9,"February 20, 20",-0.0044295
2020-02-21,56.715,58.29,52.26,54.51,54.509998,13207331,13200700,-2.205,-3.89,55.02,"February 21, 20",-0.0389
2020-02-24,50.17,53.48,50.0,51.86,51.86,3711366,3711400,1.69,3.37,52.04,"February 24, 20",0.0337
2020-02-25,52.78,53.4,49.72,50.41,50.41,3310789,3310800,-2.37,-4.49,50.77,"February 25, 20",-0.0449
2020-02-26,51.0,52.12,50.75,51.33,51.33,2116682,2114500,0.33,0.64706,51.52,"February 26, 20",0.0064706
